camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut.verb
SMc01005,SMc01192,SMc00916,SMc02124,SMc01304,SMc01035
SMc01192,SMc01024,SM_b21566,SMc01169,SMc00469,SMa0745
SMc04278,SMc00998,SMc00469,SMc01013,SM_b20758,SM_b21295
SMc02053,SMc00090,SMc01206,SMc00998,SMc01326,SMc01024
SM_b21204,SMc01032,SMc01005,SMc01024,SMc02053,SMc00302
SMc01008,SMc00916,SMc01192,SMc00090,SMc00154,SMc02124
SMc00276,SMc01547,SMc01326,SMa0744,SMc00936,SM_b21344
SMc02888,SMc01260,SMc04278,SMc01260,SM_b22023,SMc02558
SMc02467,,SMc00154,,SMc01256,SMc04040
SM_b20937,SMc01225,SM_b21204,SMc00913,SMc01008,SMc00998
SMc04146,SMc00916,SMc00936,SMc01304,SMc00185,SMc01024
SM_b20206,SMc02645,SMc01256,SMc02645,SMc00148,SMc00090
SMc00148,SM_b21566,SM_b22023,SMc01010,SMc02888,SMc01260
SMc01111,SMc01010,SMc00276,SM_b20758,SMc02467,SMc02645
SMc01294,SMc01206,SMc00185,SMc01202,SMc01294,SMc01010
SMa1746,SMc01192,SMc02509,SMc00952,SMc01038,SMc00469
SMc01038,SMc01202,SM_b20997,SMc02053,SMc04146,SMc01326
SMc00679,SMc04278,SMc00053,SMc00977,SM_b20206,SMc01202
SMc02687,SMc02559,SMa1225,SMc01008,SMc01111,SMc02559
SMc01012,SMc00952,SM_b21489,SMc00167,SM_b20194,SMc00952
SMc01501,SM_b21204,SMc01012,SMc02150,SMa1746,SMc00977
SMc03298,SMc00276,SMa2353,SM_b21345,SMc02509,SMc00936
SMc00397,SMc00167,SMc01597,SMc00148,SMc00679,SM_b22023
SMc01224,SMc02150,SM_b20239,SMc01294,SMc02687,SMc00185
SMc02391,SMa2367,SMc01517,SMc01038,SMc01224,SMc00167
SMc04297,SM_b21345,SMc00397,SMc01303,SMc02391,SMc02150
SMc03112,SMc00051,SMc00085,SMc02391,SMc00053,SM_b21345
SMc00400,SM_b20202,SMc02830,SMc02888,SMa1225,SM_b21345
SMc01597,SMc00823,SM_b20049,SMc02467,SMc01501,SMc00147
SM_b20291,SMc01303,SMa1780,SMa2367,SMc01985,SMa2367
SM_b21346,SMc00147,SMa1226,SMc01224,SMc03298,SMc00051
SMc02171,SMc02464,SM_b20170,SMc00051,SM_b21346,SM_b20202
SMc01309,SMc01102,SM_b20838,SM_b20202,SM_b20838,SM_b20478
SMa1437,SMc00397,SMc01497,SM_b21346,SMc02171,SMc01102
SM_b20049,SMc03036,SM_b21205,SMc01111,SM_b21489,SM_b20997
SMa1226,SMc03112,SMc01312,SM_b20478,SMc00400,SMc00053
SMc01497,SMc00377,SMc03980,SMc02171,SMa2353,SMa1225
SMc00277,SMc01597,SM_b20198,SM_b20194,SM_b20291,SM_b20838
SMa1811,SMc00898,SMc03181,SMc02464,SMa1437,SMc00976
SMc01033,SM_b20585,SM_b20618,SMa1746,SM_b20239,SM_b21205
,SM_b21206,SMc02504,SM_b21206,SMc00277,SM_b21206
SMc03980,SMc00085,,SMc00679,SMc01033,SMc01312
SM_b21566,SMc02830,SMc01036,SMc02687,SMc01036,SM_b21489
SM_b20618,SM_b20049,SMc03939,SMc00277,SMa1780,SMc03036
SMc00086,SMa1927,SMc02575,SMc01501,SM_b20170,SMc00377
SMc03939,SMa1226,SMc04455,SMc01033,,SMa2353
SMc02508,SMc01497,SMc03017,SMc03298,,SM_b20585
SMc03017,SM_b21566,SM_b20598,SMa2391,SMa1683,SMc01036
SM_b20598,SMc03980,SMa1691,SMc03036,SM_b20671,SMc02575
SMc01875,,SM_b21522,SM_b20291,SMc00086,SMa1927
SM_b21522,,SMa1301,SMc00377,SMc02504,SM_b20170
SMc03984,SMc02508,SM_b20011,SMc00898,SM_b20138,SMc02442
SMc01038,SMc03017,,SM_b20585,SMc04455,SMa1683
SMc01279,SMc02325,SMc03065,SMa1437,SMc01036,SM_b20198
SM_b20494,SM_b20598,SMc03971,SMa1927,SMc02442,SM_b20282
SMc00084,SMa1691,SMc00390,SMc01038,SMc01038,SMc02504
SMc04293,SMc01875,,SM_b20671,SMc01312,SMc01036
SMc01509,SM_b21522,,SMc00086,SMc03984,SMa1953
,SMc01509,SMc01312,,SM_b20494,SMc01312
SMc00949,SMc02124,SMc01279,SM_b21295,SM_b21523,SMc02325
SM_b20197,SMc01509,SMa0260,SMc00949,SMc02229,SMc02229
SM_b20169,SMc00857,SMc01509,SM_b20611,SMc03971,SMc00390
SMa2331,SM_b20103,SMc01509,SMc04301,SMa0260,SM_b20600
SMc01279,SMc04147,SMc00857,SMc01033,SMc02575,SM_b20103
SMc02174,,SMa1178,SM_b20103,SMc01033,SMc02575
SMc01304,SMa0136,SMc02174,SMc02391,SMc01033,SM_b21183
SMc01033,SMc01279,SMc01309,SMa1864,SMc02229,SMc01036
SMc02391,SMc02174,SMc01279,,SMc02442,SM_b20363
SMc02171,,SMc01723,SMc01499,SM_b21346,SMc02229
SM_b21346,SMc01279,SM_b21183,SMc01224,SMc01723,SM_b21183
SMc00857,SMc01499,SMc01036,SMc02150,SMc02229,SMc02150
SMc01224,SMc02150,SMc02575,SMc00913,SMa1179,SMa1223
SMc00949,SMa1750,SMc02229,SMa1179,SMc00949,SMa1750
SMc03744,SMc03744,SMa1176,SMc02506,SMc01224,SMc02506
SMc01309,SMc01309,SMc03145,SM_b21639,SM_b21183,SMa1195
SMc00913,SMc02506,SM_b20326,SMa0769,SMc00913,SinmeB_5234
SMc00913,SMc03145,SMc03744,SMa1211,SM_b21639,SMa1207
SM_b21639,SM_b20326,SM_b21208,SM_b21207,SMc01312,SMc00867
SMc01851,,SMc01498,,SM_b20327,SMa1213
SMc03018,SMc02255,SM_b20477,SMc01304,SMc00988,SM_b20171
SM_b21207,SMa0762,SMc03744,SMc00988,SMc01498,SMa1299
SMc01038,SMc02777,SMc01167,SMa1672,SMc00949,SMa0814
