"camp_lodi","camp_lut","camp_verb","lodi_lut","lodi_verb","lut.verb"
"Sinme_1654","Sinme_3534","Sinme_4185","Sinme_1487","Sinme_1452","Sinme_1307"
"Sinme_5026","Sinme_1338","Sinme_1780","Sinme_4845","Sinme_4835","Sinme_0888"
"Sinme_0905","Sinme_1536","Sinme_1654","Sinme_1720","Sinme_1925","Sinme_2126"
"Sinme_2675","Sinme_0889","Sinme_5026","Sinme_0891","Sinme_4833","Sinme_1564"
"Sinme_1922","Sinme_1301","Sinme_0905","Sinme_1443","Sinme_0583","Sinme_1471"
"Sinme_1925","Sinme_4185","Sinme_2675","Sinme_1755","Sinme_5092","Sinme_1336"
"Sinme_4833","Sinme_1780","Sinme_4835","Sinme_1925","Sinme_4907","Sinme_1748"
"Sinme_4832","Sinme_1654","Sinme_1922","Sinme_4834","Sinme_1164","Sinme_1452"
"Sinme_1164","Sinme_5026","Sinme_0583","Sinme_4833","Sinme_1726","Sinme_4835"
"Sinme_1765","Sinme_0905","Sinme_5092","Sinme_0582","Sinme_4788","Sinme_4834"
"Sinme_2273","Sinme_2675","Sinme_4832","Sinme_1199","Sinme_1765","Sinme_0582"
"Sinme_3006","Sinme_1922","Sinme_4907","Sinme_1926","Sinme_3006","Sinme_1199"
"Sinme_1227","Sinme_4834","Sinme_1726","Sinme_1164","Sinme_1223","Sinme_0583"
"Sinme_1223","Sinme_0582","Sinme_4788","Sinme_1155","Sinme_1204","Sinme_5092"
"Sinme_1610","Sinme_1199","Sinme_2273","Sinme_1765","Sinme_1529","Sinme_4907"
"Sinme_1345","Sinme_4832","Sinme_1227","Sinme_1766","Sinme_6617","Sinme_1926"
"Sinme_4284","Sinme_1926","Sinme_1204","Sinme_1746","Sinme_1345","Sinme_1155"
"Sinme_1228","Sinme_1155","Sinme_1610","Sinme_3006","Sinme_4284","Sinme_1726"
"Sinme_1461","Sinme_1746","Sinme_1529","Sinme_1546","Sinme_1228","Sinme_4788"
"Sinme_4836","Sinme_2273","Sinme_6617","Sinme_1223","Sinme_1759","Sinme_1746"
"Sinme_3006","Sinme_1766","Sinme_1461","Sinme_1212","Sinme_2876","Sinme_1766"
"Sinme_1611","Sinme_1227","Sinme_1759","Sinme_1225","Sinme_1709","Sinme_1546"
"Sinme_1913","Sinme_1546","Sinme_2876","Sinme_1251","Sinme_4907","Sinme_1204"
"Sinme_5607","Sinme_1610","Sinme_1709","Sinme_1345","Sinme_3006","Sinme_1212"
"Sinme_1484","Sinme_1212","Sinme_4836","Sinme_4284","Sinme_1611","Sinme_1529"
"Sinme_1525","Sinme_1225","Sinme_4907","Sinme_1228","Sinme_5607","Sinme_1225"
"Sinme_4186","Sinme_1251","Sinme_1913","Sinme_0899","Sinme_1162","Sinme_1251"
"Sinme_3303","Sinme_0899","Sinme_1484","Sinme_3006","Sinme_0900","Sinme_6617"
"Sinme_1220","Sinme_1461","Sinme_0900","Sinme_1611","Sinme_1131","Sinme_0899"
"Sinme_3303","Sinme_4836","Sinme_1162","Sinme_1489","Sinme_1162","Sinme_1759"
"Sinme_1500","Sinme_1489","Sinme_1131","Sinme_5607","Sinme_1635","Sinme_2876"
"Sinme_6535","Sinme_1913","Sinme_1162","Sinme_5293","Sinme_4706","Sinme_4907"
"Sinme_1525","Sinme_1484","Sinme_1635","Sinme_0873","Sinme_1525","Sinme_1709"
"Sinme_1248","Sinme_5293","Sinme_4706","Sinme_2125","Sinme_4186","Sinme_1489"
"Sinme_1228","Sinme_0873","Sinme_1220","Sinme_4186","Sinme_3303","Sinme_1162"
"Sinme_1248","Sinme_2125","Sinme_1635","Sinme_5608","Sinme_3303","Sinme_0900"
"Sinme_0499","Sinme_5608","Sinme_4788","Sinme_1525","Sinme_1635","Sinme_5293"
"Sinme_5607","Sinme_0652","Sinme_1500","Sinme_0652","Sinme_4788","Sinme_0873"
"Sinme_2273","Sinme_1251","Sinme_0900","Sinme_1251","Sinme_6535","Sinme_1131"
"Sinme_1461","Sinme_1220","Sinme_1248","Sinme_3303","Sinme_0900","Sinme_2125"
"Sinme_0499","Sinme_2125","Sinme_2876","Sinme_2125","Sinme_1525","Sinme_1162"
"Sinme_4707","Sinme_5608","Sinme_1248","Sinme_5608","Sinme_1228","Sinme_1635"
"Sinme_0501","Sinme_1239","Sinme_0499","Sinme_4906","Sinme_2876","Sinme_4706"
"Sinme_1154","Sinme_4906","Sinme_2273","Sinme_3303","Sinme_5607","Sinme_5608"
"Sinme_1484","Sinme_1272","Sinme_1461","Sinme_1239","Sinme_0501","Sinme_0652"
"Sinme_1220","Sinme_1500","Sinme_0499","Sinme_1272","Sinme_1154","Sinme_1251"
"Sinme_4284","Sinme_1248","Sinme_6617","Sinme_6535","Sinme_6617","Sinme_2125"
