ID	Gene Name	Species
SMC02164	carbohydrate kinase(SM2011_RS16760)	Sinorhizobium meliloti 2011	
SMC01623	carbohydrate kinase(SM2011_RS25760)	Sinorhizobium meliloti 2011	
SMC01962	carbon-nitrogen hydrolase family protein(SM2011_RS27075)	Sinorhizobium meliloti 2011	
SM_B20761	carbon-phosphorus lyase complex subunit PhnI(SM2011_RS13735)	Sinorhizobium meliloti 2011	
SMC02598	carboxylating nicotinate-nucleotide diphosphorylase(nadC)	Sinorhizobium meliloti 2011	
SMC03007	chemotaxis protein CheA(SM2011_RS17560)	Sinorhizobium meliloti 2011	
SMA0866	chitooligosaccharide synthase NodC(nodC)	Sinorhizobium meliloti 2011	
SMC04451	chloramphenicol phosphotransferase CPT family protein(SM2011_RS24490)	Sinorhizobium meliloti 2011	
SMC02546	citramalate synthase(cimA)	Sinorhizobium meliloti 2011	
SMC02087	citrate synthase(gltA)	Sinorhizobium meliloti 2011	
SMC00974	class I SAM-dependent RNA methyltransferase(SM2011_RS18790)	Sinorhizobium meliloti 2011	
SMA0168	class I SAM-dependent methyltransferase(SM2011_RS00465)	Sinorhizobium meliloti 2011	
SMA0169	class I SAM-dependent methyltransferase(SM2011_RS00470)	Sinorhizobium meliloti 2011	
SMA1963	class I SAM-dependent methyltransferase(SM2011_RS05420)	Sinorhizobium meliloti 2011	
SM_B21054	class I SAM-dependent methyltransferase(SM2011_RS09835)	Sinorhizobium meliloti 2011	
SM_B21061	class I SAM-dependent methyltransferase(SM2011_RS09865)	Sinorhizobium meliloti 2011	
SM_B21062	class I SAM-dependent methyltransferase(SM2011_RS09870)	Sinorhizobium meliloti 2011	
SM_B21312	class I SAM-dependent methyltransferase(SM2011_RS11050)	Sinorhizobium meliloti 2011	
SM_B21418	class I SAM-dependent methyltransferase(SM2011_RS12730)	Sinorhizobium meliloti 2011	
SM_B21433	class I SAM-dependent methyltransferase(SM2011_RS12805)	Sinorhizobium meliloti 2011	
SM_B21514	class I SAM-dependent methyltransferase(SM2011_RS13195)	Sinorhizobium meliloti 2011	
SMC00325	class I SAM-dependent methyltransferase(SM2011_RS15565)	Sinorhizobium meliloti 2011	
SMC00414	class I SAM-dependent methyltransferase(SM2011_RS16015)	Sinorhizobium meliloti 2011	
SMC00134	class I SAM-dependent methyltransferase(SM2011_RS23930)	Sinorhizobium meliloti 2011	
SMC01426	class I SAM-dependent methyltransferase(SM2011_RS25115)	Sinorhizobium meliloti 2011	
SMC01847	class I SAM-dependent methyltransferase(SM2011_RS25555)	Sinorhizobium meliloti 2011	
SMC00709	class I SAM-dependent methyltransferase(SM2011_RS27950)	Sinorhizobium meliloti 2011	
SMC03143	class I SAM-dependent methyltransferase(SM2011_RS29385)	Sinorhizobium meliloti 2011	
SMC01131	class I SAM-dependent rRNA methyltransferase(SM2011_RS16295)	Sinorhizobium meliloti 2011	
SMC01162	class II glutamine amidotransferase(SM2011_RS16135)	Sinorhizobium meliloti 2011	
SMC00731	cob(I)yrinic acid a,c-diamide adenosyltransferase(SM2011_RS27840)	Sinorhizobium meliloti 2011	
SMC04302	cob(I)yrinic acid a,c-diamide adenosyltransferase(cobO)	Sinorhizobium meliloti 2011	
SMC00358	cyclopropane-fatty-acyl-phospholipid synthase(cfa1)	Sinorhizobium meliloti 2011	
SMC02645	cyclopropane-fatty-acyl-phospholipid synthase(cfa2)	Sinorhizobium meliloti 2011	
SMC00533	cysteine desulfurase(SM2011_RS23220)	Sinorhizobium meliloti 2011	
SMC00529	cysteine desulfurase(SM2011_RS23240)	Sinorhizobium meliloti 2011	
SMC00421	cysteine synthase A(cysK)	Sinorhizobium meliloti 2011	
SMC00086	cytochrome c(SM2011_RS19295)	Sinorhizobium meliloti 2011	
SMC01189	dTMP kinase(tmk)	Sinorhizobium meliloti 2011	
SMC02790	dephospho-CoA kinase(coaE)	Sinorhizobium meliloti 2011	
SMC02382	diacylglycerol kinase family lipid kinase(SM2011_RS19600)	Sinorhizobium meliloti 2011	
SMC04213	diacylglycerol kinase(SM2011_RS23965)	Sinorhizobium meliloti 2011	
SMA2400	diaminobutyrate--2-oxoglutarate transaminase(rhbA)	Sinorhizobium meliloti 2011	
SMC01442	dihydrofolate reductase(SM2011_RS25200)	Sinorhizobium meliloti 2011	
SMC00462	dihydropteroate synthase(folP)	Sinorhizobium meliloti 2011	
SM_B20767	dihydroxyacetone kinase family protein(SM2011_RS13765)	Sinorhizobium meliloti 2011	
SM_B20314	dihydroxyacetone kinase subunit DhaK(SM2011_RS08090)	Sinorhizobium meliloti 2011	
SM_B20312	dihydroxyacetone kinase subunit DhaK(dhaK)	Sinorhizobium meliloti 2011	
SM_B21304	dimethylarginine dimethylaminohydrolase family protein(SM2011_RS10670)	Sinorhizobium meliloti 2011	
SMA0892	error-prone DNA polymerase(SM2011_RS02485)	Sinorhizobium meliloti 2011	
SMC03788	error-prone DNA polymerase(SM2011_RS30555)	Sinorhizobium meliloti 2011	
SM_B20946	exopolysaccharide production protein ExoY(exoY)	Sinorhizobium meliloti 2011	
SMC03085	formate dehydrogenase accessory sulfurtransferase FdhD(fdhD)	Sinorhizobium meliloti 2011	
SM_B20149	four-carbon acid sugar kinase family protein(SM2011_RS07320)	Sinorhizobium meliloti 2011	
SM_B20394	four-carbon acid sugar kinase family protein(SM2011_RS08505)	Sinorhizobium meliloti 2011	
SM_B20670	four-carbon acid sugar kinase family protein(SM2011_RS13355)	Sinorhizobium meliloti 2011	
SMC02495	fructose-6-phosphate aldolase(fsa)	Sinorhizobium meliloti 2011	
SMC03138	fructoselysine 6-kinase(SM2011_RS29405)	Sinorhizobium meliloti 2011	
SMC04241	gamma carbonic anhydrase family protein(SM2011_RS24105)	Sinorhizobium meliloti 2011	
SMC03943	gamma-glutamyl-gamma-aminobutyrate hydrolase family protein(SM2011_RS28960)	Sinorhizobium meliloti 2011	
SM_B20585	gamma-glutamyltransferase(ggt)	Sinorhizobium meliloti 2011	
SMC02835	glucokinase(SM2011_RS15135)	Sinorhizobium meliloti 2011	
SM_B21119	gluconokinase(SM2011_RS10140)	Sinorhizobium meliloti 2011	
SMC03923	glucose-1-phosphate adenylyltransferase(glgC)	Sinorhizobium meliloti 2011	
SM_B21416	glucose-1-phosphate cytidylyltransferase(rfbF)	Sinorhizobium meliloti 2011	
SM_B21324	glucose-1-phosphate thymidylyltransferase RfbA(rfbA)	Sinorhizobium meliloti 2011	
SMC03776	glutamate 5-kinase(proB)	Sinorhizobium meliloti 2011	
SMC02610	glutamine amidotransferase family protein(SM2011_RS14775)	Sinorhizobium meliloti 2011	
SMC03236	glutamine amidotransferase(SM2011_RS30090)	Sinorhizobium meliloti 2011	
SMC00231	glutamine--fructose-6-phosphate transaminase (isomerizing)(glmS)	Sinorhizobium meliloti 2011	
SMC00394	glutamine-hydrolyzing GMP synthase(guaA)	Sinorhizobium meliloti 2011	
SMC02390	glutathione S-transferase N-terminal domain-containing protein(SM2011_RS19640)	Sinorhizobium meliloti 2011	
SMA2319	glutathione S-transferase family protein(SM2011_RS06320)	Sinorhizobium meliloti 2011	
SM_B20420	glutathione S-transferase family protein(SM2011_RS08625)	Sinorhizobium meliloti 2011	
SMC04141	glutathione S-transferase family protein(SM2011_RS14895)	Sinorhizobium meliloti 2011	
SMC00383	glutathione S-transferase family protein(SM2011_RS15860)	Sinorhizobium meliloti 2011	
SMC00407	glutathione S-transferase family protein(SM2011_RS15980)	Sinorhizobium meliloti 2011	
SMC00036	glutathione S-transferase family protein(SM2011_RS19185)	Sinorhizobium meliloti 2011	
SMC00097	glutathione S-transferase family protein(SM2011_RS19195)	Sinorhizobium meliloti 2011	
SMC00594	glutathione S-transferase family protein(SM2011_RS20240)	Sinorhizobium meliloti 2011	
SMC01238	glutathione S-transferase family protein(SM2011_RS22235)	Sinorhizobium meliloti 2011	
SMC04321	glutathione S-transferase family protein(SM2011_RS24870)	Sinorhizobium meliloti 2011	
SMC02708	glutathione S-transferase family protein(SM2011_RS26440)	Sinorhizobium meliloti 2011	
SMC03882	glutathione S-transferase family protein(SM2011_RS31030)	Sinorhizobium meliloti 2011	
SMA1497	glutathione S-transferase(SM2011_RS04115)	Sinorhizobium meliloti 2011	
SM_B20005	glutathione S-transferase(SM2011_RS06620)	Sinorhizobium meliloti 2011	
SM_B21449	glutathione S-transferase(SM2011_RS12885)	Sinorhizobium meliloti 2011	
SMC01443	glutathione S-transferase(SM2011_RS25205)	Sinorhizobium meliloti 2011	
SMA1406	glycerate kinase(SM2011_RS03865)	Sinorhizobium meliloti 2011	
SM_B21009	glycerol kinase GlpK(glpK)	Sinorhizobium meliloti 2011	
SMC01565	glycine C-acetyltransferase(SM2011_RS26180)	Sinorhizobium meliloti 2011	
SMC02047	glycine cleavage system aminomethyltransferase GcvT(gcvT)	Sinorhizobium meliloti 2011	
SM_B20704	glycogen synthase GlgA(glgA)	Sinorhizobium meliloti 2011	
SMC03924	glycogen synthase GlgA(glgA)	Sinorhizobium meliloti 2011	
SMC04460	glycogen/starch/alpha-glucan phosphorylase(SM2011_RS28850)	Sinorhizobium meliloti 2011	
SM_B20805	glycosyl transferase(SM2011_RS09415)	Sinorhizobium meliloti 2011	
SM_B20824	glycosyl transferase(SM2011_RS09505)	Sinorhizobium meliloti 2011	
SMC04081	glycosyl transferase(SM2011_RS28365)	Sinorhizobium meliloti 2011	
SMC02384	glycosyltransferase family 2 protein(SM2011_RS19610)	Sinorhizobium meliloti 2011	
SMC01222	glycosyltransferase family 2 protein(SM2011_RS22310)	Sinorhizobium meliloti 2011	
SM_B20807	glycosyltransferase family 39 protein(SM2011_RS09425)	Sinorhizobium meliloti 2011	
SMC02383	glycosyltransferase family 39 protein(SM2011_RS19605)	Sinorhizobium meliloti 2011	
SM_B20117	glycosyltransferase family 4 protein(SM2011_RS07160)	Sinorhizobium meliloti 2011	
SM_B20243	glycosyltransferase family 4 protein(SM2011_RS07755)	Sinorhizobium meliloti 2011	
SM_B21053	glycosyltransferase family 4 protein(SM2011_RS09830)	Sinorhizobium meliloti 2011	
SM_B21076	glycosyltransferase family 4 protein(SM2011_RS09940)	Sinorhizobium meliloti 2011	
SM_B21252	glycosyltransferase family 4 protein(SM2011_RS10420)	Sinorhizobium meliloti 2011	
SM_B21265	glycosyltransferase family 4 protein(SM2011_RS10480)	Sinorhizobium meliloti 2011	
SM_B21308	glycosyltransferase family 4 protein(SM2011_RS11030)	Sinorhizobium meliloti 2011	
SM_B21311	glycosyltransferase family 4 protein(SM2011_RS11045)	Sinorhizobium meliloti 2011	
SM_B21318	glycosyltransferase family 4 protein(SM2011_RS11080)	Sinorhizobium meliloti 2011	
SM_B21581	glycosyltransferase family 4 protein(SM2011_RS11690)	Sinorhizobium meliloti 2011	
SM_B21502	glycosyltransferase family 4 protein(SM2011_RS13140)	Sinorhizobium meliloti 2011	
SMC01790	glycosyltransferase family 4 protein(SM2011_RS20575)	Sinorhizobium meliloti 2011	
SMC01793	glycosyltransferase family 4 protein(SM2011_RS20590)	Sinorhizobium meliloti 2011	
SMC01219	glycosyltransferase family 4 protein(SM2011_RS22325)	Sinorhizobium meliloti 2011	
SM_B21068	glycosyltransferase family 8 protein(SM2011_RS09895)	Sinorhizobium meliloti 2011	
SM_B20563	glycosyltransferase family 92 protein(SM2011_RS09400)	Sinorhizobium meliloti 2011	
SM_B21264	glycosyltransferase family protein(SM2011_RS10475)	Sinorhizobium meliloti 2011	
SM_B20240	glycosyltransferase(SM2011_RS07740)	Sinorhizobium meliloti 2011	
SM_B20242	glycosyltransferase(SM2011_RS07750)	Sinorhizobium meliloti 2011	
SM_B20391	glycosyltransferase(SM2011_RS08490)	Sinorhizobium meliloti 2011	
SM_B20460	glycosyltransferase(SM2011_RS08805)	Sinorhizobium meliloti 2011	
SM_B21066	glycosyltransferase(SM2011_RS09885)	Sinorhizobium meliloti 2011	
SM_B21230	glycosyltransferase(SM2011_RS10315)	Sinorhizobium meliloti 2011	
SM_B21189	glycosyltransferase(SM2011_RS10900)	Sinorhizobium meliloti 2011	
SM_B21190	glycosyltransferase(SM2011_RS10905)	Sinorhizobium meliloti 2011	
SM_B21313	glycosyltransferase(SM2011_RS11055)	Sinorhizobium meliloti 2011	
SM_B21320	glycosyltransferase(SM2011_RS11090)	Sinorhizobium meliloti 2011	
SM_B21500	glycosyltransferase(SM2011_RS13130)	Sinorhizobium meliloti 2011	
SM_B20748	glycosyltransferase(SM2011_RS13670)	Sinorhizobium meliloti 2011	
SMC03058	glycosyltransferase(SM2011_RS17825)	Sinorhizobium meliloti 2011	
SMC00865	glycosyltransferase(SM2011_RS18600)	Sinorhizobium meliloti 2011	
SMC01221	glycosyltransferase(SM2011_RS22315)	Sinorhizobium meliloti 2011	
SMC01220	glycosyltransferase(SM2011_RS22320)	Sinorhizobium meliloti 2011	
SMC04185	glycosyltransferase(SM2011_RS24620)	Sinorhizobium meliloti 2011	
SM_B20780	group II intron reverse transcriptase/maturase(ltrA)	Sinorhizobium meliloti 2011	
SM_B21167	group II intron reverse transcriptase/maturase(ltrA)	Sinorhizobium meliloti 2011	
SM_B20780	group II intron reverse transcriptase/maturase(ltrA)	Sinorhizobium meliloti 2011	
SMC00577	guanylate kinase(gmk)	Sinorhizobium meliloti 2011	
SMC00450	heme o synthase(SM2011_RS18930)	Sinorhizobium meliloti 2011	
SMA0387	histidinol-phosphate transaminase(SM2011_RS01055)	Sinorhizobium meliloti 2011	
SMC03885	histidinol-phosphate transaminase(hisC)	Sinorhizobium meliloti 2011	
SMC00710	histidinol-phosphate transaminase(hisC)	Sinorhizobium meliloti 2011	
SMC02654	holo-ACP synthase(acpS)	Sinorhizobium meliloti 2011	
SMC00017	homoserine kinase(SM2011_RS18965)	Sinorhizobium meliloti 2011	
SMC04016	homospermidine synthase(SM2011_RS28635)	Sinorhizobium meliloti 2011	
SMA0853	host-specificity nodulation protein HsnB(hsnB)	Sinorhizobium meliloti 2011	
SMA0851	host-specificity nodulation protein HsnD(hsnD)	Sinorhizobium meliloti 2011	
SM_B20164	hybrid sensor histidine kinase/response regulator(SM2011_RS07400)	Sinorhizobium meliloti 2011	
SMC02249	hybrid sensor histidine kinase/response regulator(SM2011_RS17115)	Sinorhizobium meliloti 2011	
SMC03231	hydroxymethylbilane synthase(hemC)	Sinorhizobium meliloti 2011	
SM_B20043	hypothetical protein(SM2011_RS06810)	Sinorhizobium meliloti 2011	
SM_B20448	hypothetical protein(SM2011_RS08745)	Sinorhizobium meliloti 2011	
SM_B20806	hypothetical protein(SM2011_RS09420)	Sinorhizobium meliloti 2011	
SMC02314	hypothetical protein(SM2011_RS17460)	Sinorhizobium meliloti 2011	
SMC00719	hypoxanthine phosphoribosyltransferase(hpt)	Sinorhizobium meliloti 2011	
SMC02097	isoprenyl transferase(SM2011_RS21965)	Sinorhizobium meliloti 2011	
SMC01704	isoprenylcysteine carboxylmethyltransferase family protein(SM2011_RS16655)	Sinorhizobium meliloti 2011	
SMC01259	isoprenylcysteine carboxylmethyltransferase family protein(SM2011_RS21495)	Sinorhizobium meliloti 2011	
SMC01785	ketoacyl-ACP synthase III(SM2011_RS20535)	Sinorhizobium meliloti 2011	
SMC02793	kinase/pyrophosphorylase(SM2011_RS14315)	Sinorhizobium meliloti 2011	
SMC01346	leucyl/phenylalanyl-tRNA--protein transferase(aat)	Sinorhizobium meliloti 2011	
SMC00894	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase(waaA)	Sinorhizobium meliloti 2011	
SMC02089	lipid-A-disaccharide synthase(lpxB)	Sinorhizobium meliloti 2011	
SMC01037	lipoyl synthase(lipA)	Sinorhizobium meliloti 2011	
SMC01268	lipoyl(octanoyl) transferase LipB(lipB)	Sinorhizobium meliloti 2011	
SMC02581	malate synthase G(SM2011_RS14620)	Sinorhizobium meliloti 2011	
SMC01109	methionine adenosyltransferase(metK)	Sinorhizobium meliloti 2011	
SMC03112	methionine synthase(metH)	Sinorhizobium meliloti 2011	
SM_B21235	methionyl-tRNA formyltransferase(SM2011_RS10340)	Sinorhizobium meliloti 2011	
SMC01100	methionyl-tRNA formyltransferase(fmt)	Sinorhizobium meliloti 2011	
SM_B20708	methylated-DNA--[protein]-cysteine S-methyltransferase(SM2011_RS13540)	Sinorhizobium meliloti 2011	
SM_B21122	methylcrotonoyl-CoA carboxylase(SM2011_RS10150)	Sinorhizobium meliloti 2011	
SMC02053	methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO(trmFO)	Sinorhizobium meliloti 2011	
SMC04342	methyltetrahydrofolate cobalamin methyltransferase(SM2011_RS24475)	Sinorhizobium meliloti 2011	
SM_B20059	methyltransferase domain-containing protein(SM2011_RS06875)	Sinorhizobium meliloti 2011	
SMC02445	methyltransferase domain-containing protein(SM2011_RS27730)	Sinorhizobium meliloti 2011	
SMC00599	molybdenum cofactor biosynthesis protein MoaE(SM2011_RS20265)	Sinorhizobium meliloti 2011	
SMC00143	molybdenum cofactor guanylyltransferase MobA(mobA)	Sinorhizobium meliloti 2011	
SMC00238	molybdopterin molybdotransferase MoeA(SM2011_RS22835)	Sinorhizobium meliloti 2011	
SMC01769	murein L,D-transpeptidase(SM2011_RS20455)	Sinorhizobium meliloti 2011	
SMC00150	murein L,D-transpeptidase(SM2011_RS23845)	Sinorhizobium meliloti 2011	
SMC00689	murein L,D-transpeptidase(SM2011_RS28050)	Sinorhizobium meliloti 2011	
SMC02276	nicotinate phosphoribosyltransferase(pncB)	Sinorhizobium meliloti 2011	
SMC04214	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase(cobT)	Sinorhizobium meliloti 2011	
SMC01042	nitrogen regulation protein NR(II)(SM2011_RS21760)	Sinorhizobium meliloti 2011	
SMA0869	nodulation N-acyltransferase NodA(nodA)	Sinorhizobium meliloti 2011	
SMA0772	nodulation acetyltransferase NodL(nodL)	Sinorhizobium meliloti 2011	
SMC00347	nucleoside diphosphate kinase regulator(rnk)	Sinorhizobium meliloti 2011	
SMC02167	nucleoside triphosphate hydrolase(SM2011_RS16745)	Sinorhizobium meliloti 2011	
SMC00595	nucleoside-diphosphate kinase(ndk)	Sinorhizobium meliloti 2011	
SMC02758	nucleotidyltransferase family protein(SM2011_RS14490)	Sinorhizobium meliloti 2011	
SMA0695	ornithine carbamoyltransferase(SM2011_RS01900)	Sinorhizobium meliloti 2011	
SMC02137	ornithine carbamoyltransferase(argF)	Sinorhizobium meliloti 2011	
SMC02165	orotate phosphoribosyltransferase(SM2011_RS16755)	Sinorhizobium meliloti 2011	
SMA1229	oxygen sensor histidine kinase FixL(fixL)	Sinorhizobium meliloti 2011	
SMC01209	pantetheine-phosphate adenylyltransferase(coaD)	Sinorhizobium meliloti 2011	
SMA2294	penicillin-binding protein 1A(SM2011_RS06250)	Sinorhizobium meliloti 2011	
SMC01334	penicillin-binding protein 1A(SM2011_RS21090)	Sinorhizobium meliloti 2011	
SM_B21297	penicillin-binding protein 1C(pbpC)	Sinorhizobium meliloti 2011	
SMC01860	penicillin-binding protein 2(SM2011_RS25490)	Sinorhizobium meliloti 2011	
SMC00122	penicillin-binding protein(SM2011_RS19465)	Sinorhizobium meliloti 2011	
SMC02683	peptidoglycan editing factor PgeF(pgeF)	Sinorhizobium meliloti 2011	
SM_B21532	phosphate acetyltransferase(pta)	Sinorhizobium meliloti 2011	
SMC01784	phosphate acyltransferase PlsX(plsX)	Sinorhizobium meliloti 2011	
SMC02147	phosphate regulon sensor histidine kinase PhoR(phoR)	Sinorhizobium meliloti 2011	
SMC02157	phosphatidate cytidylyltransferase(SM2011_RS16795)	Sinorhizobium meliloti 2011	
SMC02096	phosphatidate cytidylyltransferase(SM2011_RS21970)	Sinorhizobium meliloti 2011	
SMC00247	phosphatidylcholine synthase(pcs)	Sinorhizobium meliloti 2011	
SMC01863	phospho-N-acetylmuramoyl-pentapeptide-transferase(mraY)	Sinorhizobium meliloti 2011	
SMC02562	phosphoenolpyruvate carboxykinase(SM2011_RS14535)	Sinorhizobium meliloti 2011	
SMC02437	phosphoenolpyruvate--protein phosphotransferase(ptsP)	Sinorhizobium meliloti 2011	
SMC03981	phosphoglycerate kinase(SM2011_RS28465)	Sinorhizobium meliloti 2011	
SMC02076	phospholipase D-like domain-containing protein(SM2011_RS22070)	Sinorhizobium meliloti 2011	
SM_B20760	phosphonate C-P lyase system protein PhnH(phnH)	Sinorhizobium meliloti 2011	
SM_B21170	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN(phnN)	Sinorhizobium meliloti 2011	
SMC00614	phosphoribosylglycinamide formyltransferase(purN)	Sinorhizobium meliloti 2011	
SMC01463	phosphoribosyltransferase(SM2011_RS25305)	Sinorhizobium meliloti 2011	
SM_B20201	phosphoribulokinase(SM2011_RS07550)	Sinorhizobium meliloti 2011	
SMC00640	phosphoserine transaminase(SM2011_RS28290)	Sinorhizobium meliloti 2011	
SMC02055	phytoene/squalene synthase family protein(SM2011_RS22175)	Sinorhizobium meliloti 2011	
SMC00296	poly(3-hydroxyalkanoate) polymerase subunit PhaC(phaC)	Sinorhizobium meliloti 2011	
SMA0670	polyphosphate kinase 2(ppk2)	Sinorhizobium meliloti 2011	
SMC02148	polyphosphate kinase 2(ppk2)	Sinorhizobium meliloti 2011	
SMA0172	polyphosphate kinase 2(ppk2)	Sinorhizobium meliloti 2011	
SMC00860	polyprenyl synthetase family protein(SM2011_RS18625)	Sinorhizobium meliloti 2011	
SMC03884	polyprenyl synthetase family protein(SM2011_RS31040)	Sinorhizobium meliloti 2011	
SMC00324	polyribonucleotide nucleotidyltransferase(pnp)	Sinorhizobium meliloti 2011	
SM_B21070	polysaccharide biosynthesis tyrosine autokinase(SM2011_RS09910)	Sinorhizobium meliloti 2011	
SM_B21321	polysaccharide pyruvyl transferase family protein(SM2011_RS11095)	Sinorhizobium meliloti 2011	
SM_B21322	polysaccharide pyruvyl transferase family protein(SM2011_RS11100)	Sinorhizobium meliloti 2011	
SMC03191	precorrin-2 C(20)-methyltransferase(SM2011_RS29245)	Sinorhizobium meliloti 2011	
SMC03190	precorrin-3B C(17)-methyltransferase(SM2011_RS29240)	Sinorhizobium meliloti 2011	
SMC03187	precorrin-4 C(11)-methyltransferase(cobM)	Sinorhizobium meliloti 2011	
SMC03194	precorrin-6A synthase (deacetylating)(cobF)	Sinorhizobium meliloti 2011	
SMC02681	prolipoprotein diacylglyceryl transferase(lgt)	Sinorhizobium meliloti 2011	
SMC02083	protein-L-isoaspartate O-methyltransferase(SM2011_RS22035)	Sinorhizobium meliloti 2011	
SMA1547	protein-L-isoaspartate(D-aspartate) O-methyltransferase(SM2011_RS04250)	Sinorhizobium meliloti 2011	
SMC01203	protein-S-isoprenylcysteine O-methyltransferase(SM2011_RS22415)	Sinorhizobium meliloti 2011	
SMA1552	protein-glutamate O-methyltransferase CheR(SM2011_RS04265)	Sinorhizobium meliloti 2011	
SMC03009	protein-glutamate O-methyltransferase CheR(cheR)	Sinorhizobium meliloti 2011	
SMA1684	pseudo(SM2011_RS04625)	Sinorhizobium meliloti 2011	
SMC04123	purine-nucleoside phosphorylase(SM2011_RS14985)	Sinorhizobium meliloti 2011	
SMC04084	pyridoxal kinase PdxY(pdxY)	Sinorhizobium meliloti 2011	
SMC02272	pyridoxal phosphate-dependent aminotransferase family protein(SM2011_RS17235)	Sinorhizobium meliloti 2011	
SMC02251	pyridoxal phosphate-dependent aminotransferase(SM2011_RS17125)	Sinorhizobium meliloti 2011	
SMC02262	pyridoxal phosphate-dependent aminotransferase(SM2011_RS17185)	Sinorhizobium meliloti 2011	
SMC02393	pyridoxal phosphate-dependent aminotransferase(SM2011_RS19655)	Sinorhizobium meliloti 2011	
SMC04326	pyridoxal phosphate-dependent aminotransferase(SM2011_RS24405)	Sinorhizobium meliloti 2011	
SMC01578	pyridoxal phosphate-dependent aminotransferase(SM2011_RS26220)	Sinorhizobium meliloti 2011	
SMC04386	pyridoxal phosphate-dependent aminotransferase(SM2011_RS31165)	Sinorhizobium meliloti 2011	
SMC01407	pyridoxine 5'-phosphate synthase(SM2011_RS25005)	Sinorhizobium meliloti 2011	
SMC01032	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase(SM2011_RS21705)	Sinorhizobium meliloti 2011	
SMC04005	pyruvate kinase(pyk)	Sinorhizobium meliloti 2011	
SMC00025	pyruvate, phosphate dikinase(ppdK)	Sinorhizobium meliloti 2011	
SMC02601	quinolinate synthase NadA(nadA)	Sinorhizobium meliloti 2011	
SMA1558	response regulator(SM2011_RS04280)	Sinorhizobium meliloti 2011	
SM_B20356	response regulator(SM2011_RS08315)	Sinorhizobium meliloti 2011	
SM_B20357	response regulator(SM2011_RS08320)	Sinorhizobium meliloti 2011	
SMC01452	ribbon-helix-helix domain-containing protein(SM2011_RS25250)	Sinorhizobium meliloti 2011	
SMC01773	riboflavin synthase(SM2011_RS20475)	Sinorhizobium meliloti 2011	
SMC01103	ribokinase(SM2011_RS16435)	Sinorhizobium meliloti 2011	
SMC01144	ribonuclease PH(rph)	Sinorhizobium meliloti 2011	
SMC02686	ribose-phosphate pyrophosphokinase(SM2011_RS26330)	Sinorhizobium meliloti 2011	
SMA0028	selenide, water dikinase SelD(selD)	Sinorhizobium meliloti 2011	
SMA2327	sensor histidine kinase KdpD(SM2011_RS06345)	Sinorhizobium meliloti 2011	
SMA0204	sensor histidine kinase(SM2011_RS00575)	Sinorhizobium meliloti 2011	
SMA0939	sensor histidine kinase(SM2011_RS02585)	Sinorhizobium meliloti 2011	
SMA1696	sensor histidine kinase(SM2011_RS04655)	Sinorhizobium meliloti 2011	
SMA2063	sensor histidine kinase(SM2011_RS05690)	Sinorhizobium meliloti 2011	
SM_B20077	sensor histidine kinase(SM2011_RS06965)	Sinorhizobium meliloti 2011	
SM_B21201	sensor histidine kinase(SM2011_RS10945)	Sinorhizobium meliloti 2011	
SM_B21546	sensor histidine kinase(SM2011_RS11515)	Sinorhizobium meliloti 2011	
SM_B20721	sensor histidine kinase(SM2011_RS13605)	Sinorhizobium meliloti 2011	
SM_B20612	sensor histidine kinase(SM2011_RS14070)	Sinorhizobium meliloti 2011	
SMC00322	sensor histidine kinase(SM2011_RS15550)	Sinorhizobium meliloti 2011	
SMC02113	serine O-acetyltransferase(cysE)	Sinorhizobium meliloti 2011	
SMC01770	serine hydroxymethyltransferase(SM2011_RS20460)	Sinorhizobium meliloti 2011	
SMC00695	shikimate kinase(SM2011_RS28020)	Sinorhizobium meliloti 2011	
SMC01053	siroheme synthase CysG(cysG)	Sinorhizobium meliloti 2011	
SMC00021	site-specific DNA-methyltransferase(SM2011_RS19030)	Sinorhizobium meliloti 2011	
SM_B20957	succinoglycan biosynthesis glycosyltransferase ExoA(exoA)	Sinorhizobium meliloti 2011	
SM_B20956	succinoglycan biosynthesis glycosyltransferase ExoL(exoL)	Sinorhizobium meliloti 2011	
SM_B20958	succinoglycan biosynthesis glycosyltransferase ExoM(exoM)	Sinorhizobium meliloti 2011	
SM_B20959	succinoglycan biosynthesis glycosyltransferase ExoO(exoO)	Sinorhizobium meliloti 2011	
SM_B20948	succinoglycan biosynthesis glycosyltransferase ExoU(exoU)	Sinorhizobium meliloti 2011	
SM_B21690	succinoglycan biosynthesis glycosyltransferase ExoW(exoW)	Sinorhizobium meliloti 2011	
SM_B20954	succinoglycan biosynthesis protein ExoH(exoH)	Sinorhizobium meliloti 2011	
SM_B21374	sugar kinase(SM2011_RS11345)	Sinorhizobium meliloti 2011	
SMC01531	sugar kinase(SM2011_RS26625)	Sinorhizobium meliloti 2011	
SM_B21246	sugar transferase(SM2011_RS10390)	Sinorhizobium meliloti 2011	
SM_B20619	sugar-binding transcriptional regulator(SM2011_RS14110)	Sinorhizobium meliloti 2011	
