sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut verb
157,SMc01267,42,305,812,127,815,31
158,SMc01266,698,717,28,120,133,310
159,SMc01265,90,955,197,611,166,592
160,SMc01016,16,90,132,735,901,815
161,SMc01022,12,713,217,6,718,901
162,SMc01053,192,730,,126,8,133
163,SMc02111,714,769,,970,149,150
164,SMc02101,707,,,669,340,166
165,SMc02100,199,,,310,48,8
166,SMc02061,,,,790,723,149
167,SMc02054,,,,689,824,709
168,SMc02050,,,,42,788,
169,SMc02049,,,,592,,
170,SMc01242,,,,226,,
171,SMc01175,,,,731,,
172,SMc00943,,,,,,
173,SMc00506,,,,,,
174,SMc00494,,,,,,
175,SMc00467,,,,,,
176,SMc00168,,,,,,
177,SMc00147,,,,,,
178,SMc00137,,,,,,
179,SMc04236,,,,,,
180,SMc04173,,,,,,
181,SMc04183,,,,,,
182,SMc04276,,,,,,
183,SMc04283,,,,,,
184,SMc04291,,,,,,
185,SMc04292,,,,,,
186,SMc04300,,,,,,
187,SMc04316,,,,,,
188,SMc04317,,,,,,
189,SMc04346,,,,,,
190,SMc01488,,,,,,
191,SMc01449,,,,,,
192,SMc01465,,,,,,
193,SMc05008,,,,,,
194,SMc01469,,,,,,
195,SMc01882,,,,,,
196,SMc01875,,,,,,
197,SMc01869,,,,,,
198,SMc01848,,,,,,
199,SMc01542,,,,,,
200,SMc01547,,,,,,
201,SMc01591,,,,,,
202,SMc02689,,,,,,
203,SMc02692,,,,,,
204,SMc02726,,,,,,
205,SMc02735,,,,,,
206,SMc01815,,,,,,
207,SMc01959,,,,,,
208,SMc01982,,,,,,
209,SMc01983,,,,,,
210,SMc01984,,,,,,
211,SMc01985,,,,,,
212,SMc02349,,,,,,
213,SMc02350,,,,,,
214,SMc02443,,,,,,
215,SMc04458,,,,,,
216,SMc00651,,,,,,
217,SMc00638,,,,,,
218,SMc03968,,,,,,
219,SMc03969,,,,,,
220,SMc03970,,,,,,
221,SMc03981,,,,,,
222,SMc03999,,,,,,
223,SMc04040,,,,,,
224,SMc04049,,,,,,
225,SMc04051,,,,,,
226,SMc04059,,,,,,
227,SMc03938,,,,,,
228,SMc03939,,,,,,
229,SMc03950,,,,,,
230,SMc03157,,,,,,
231,SMc03167,,,,,,
232,SMc03168,,,,,,
233,SMc03173,,,,,,
234,SMc03203,,,,,,
235,SMc03211,,,,,,
236,SMc03143,,,,,,
237,SMc03137,,,,,,
238,SMc03136,,,,,,
239,SMc03104,,,,,,
240,SMc03103,,,,,,
241,SMc03090,,,,,,
242,SMc04444,,,,,,
243,SMc02503,,,,,,
244,SMc02501,,,,,,
245,SMc02471,,,,,,
246,SMc02470,,,,,,
247,SMc02467,,,,,,
248,SMc03242,,,,,,
249,SMc03251,,,,,,
250,SMc03252,,,,,,
251,SMc03253,,,,,,
252,SMc03773,,,,,,
253,SMc03788,,,,,,
254,SMc03789,,,,,,
255,SMc03790,,,,,,
256,SMc03829,,,,,,
257,SMc03857,,,,,,
258,SMc03858,,,,,,
259,SMc03859,,,,,,
260,SMc03881,,,,,,
261,SMc02796,,,,,,
262,SM_b20013,,,,,,
263,SM_b20019,,,,,,
264,SM_b20079,,,,,,
265,SM_b20080,,,,,,
266,SM_b20096,,,,,,
267,SM_b20097,,,,,,
268,SM_b20098,,,,,,
269,SM_b20099,,,,,,
