camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
SMc00888,SM_b21494,SMa5031,SMc01318,SMc02575,SMc00097
SMc04316,SMc03072,SMc02470,SMc00912,SMc03020,SM_b21494
SMc00565,SMa1386,SMc03020,SMc03072,SMc00565,SMc00912
SMc03030,SMc04040,SMc03037,SMc00565,SMc00986,SMc03048
SMa1386,SMc03004,SMc03004,SMc03048,SMc03037,SMc00986
SMc03004,SMc03048,SMc03024,SM_b21494,SMa5031,SMc03037
SMc00888,SMc00888,SMc00888,SMc00097,SMc04316,SMc04040
SMc03042,SMc03042,SMc03773,SMc04040,SM_b21221,SMa5031
SMc03014,SMc00912,SMc04300,SMc03035,SMc00913,SM_b21221
SM_b21174,SMc02576,SMc03042,SMc04316,SMc03032,SMc03035
SMc03009,SMc03173,SMc03014,SMc03019,SMc03054,SMc00913
SMc00565,SMa0744,SMc00986,SMc00565,SMc02470,SMc02470
SMc03051,SMc03014,SMc03009,SMc03072,SMc00565,SMc03032
SMc03038,SMc03009,SMc00913,SMc03051,SMc03773,SMc03019
SMc03010,SMa0855,SMc01319,SMa0744,SMc03051,SMc03773
SMc02545,SMc01469,SMc03859,SM_b21174,SM_b21174,SMc03054
SMc01313,SMc03858,SMc03032,SMc02576,SMc04300,SMc03072
SMc03046,SMc03035,SMc03054,SMc01882,SMc01319,SMa0744
SMc01104,SMc03072,SMc01312,SMc03173,SMc03859,SMc04300
SM_b21257,SMc01882,SMa1379,SMc03027,SMc03037,SMc02576
SMc03157,SMc03011,SMc03038,SMc00912,SMc03010,SMc03173
SMc03017,SMc03019,SMc01313,SMc01469,SMc01312,SMc01882
SMc00335,SMc03038,SMc03037,SMa0855,SMa0745,SMc01469
SMc03010,SM_b21175,SMc01104,SMc03010,SMa1379,SMc01319
SMc01305,SMc04317,SMc03046,SMc02054,SMc03045,SMc03859
SMc03057,SMc01313,SMc02545,SMc03858,SMc03022,SMa0855
SMc01106,SMc01104,SMc00567,SMc03011,SMc03010,SMc03027
SM_b20347,SMc03046,SMc02692,SMc04317,SMc03157,SMc03037
SMc03021,SM_b20647,SMc01307,SM_b21175,SM_b21257,SMc03858
SMc02890,SMc02545,SMc03057,SMc03022,SMc00335,SMc00912
SMa1747,SMc02054,SMa0745,SMc03010,SMc03049,SMc01312
SMc03857,SMc03969,SMc03021,SMc01882,SMc03017,SMc03011
SMc01301,SM_b21295,SMc03881,SM_b20647,SMc01305,SMc02054
SMc03881,SMc01882,SMc03049,SMc03157,SMc01307,SMc04317
SMc03022,SMc00912,SMc04346,SM_b21257,SMc02692,SM_b21175
SMa0849,SMc03027,SMc01307,SMc00335,SMc01106,SMa1379
SMc00147,SMc03057,SMc01291,SMc03969,SMc00567,SMa0745
SMc03039,SMc01310,SMc03045,SMc01305,SM_b20347,SM_b20647
SMc01305,SMc00765,SMa5031,SMc03017,SMc03039,SMc01882
SMc01293,SMc03021,SMc02692,SMc03007,SMc02890,SMc03969
SMc01309,SMc03881,SMc01720,SM_b21295,SMc01307,SMc03045
SMc01314,SMc01547,SM_b21438,SMc01106,SMc01301,SMc03049
SM_b20705,SMc02911,SMc03242,SMc03052,SMa1747,SM_b21295
SMc02100,SM_b21208,SMc01304,SMc01310,SMa0849,SMc01307
SMc02050,SMc03007,SMc03881,SM_b20347,SMc03857,SMc02692
SMc01321,SMc01294,SMc01104,SMc03039,SM_b22023,SMc00567
SMc03071,SMc01310,SMc01300,SMc00765,SMc01305,SMc01310
SMc02857,SMc01306,SMa0745,SMc02890,SMc03071,SMc03007
SMc00908,SMc03052,SMc03012,SMc03040,SMc00147,SMc03052
SM_b22023,SMc02171,SMc02868,SMc01301,SMa0745,SMc00765
SMc04059,SMc03040,SMc03050,SMa1747,SMc04346,SMc01307
SMa0849,SMc04040,SMc01295,SMa0849,SMc01291,SMc01547
SMc03881,SMc01333,SMc01303,SM_b22023,SMa5031,SMc02911
SMc01104,SMc00620,SMc01312,SMc03857,SMc01293,SMc03040
SMc01304,SMc00620,SMc02796,SMc01547,SMc01309,SM_b21208
SMc03050,SMc01304,SMc00975,SMc02911,SM_b20705,SMc04346
SMc02100,SMc03881,SMc01907,SMc01305,SMc01314,SMc01294
SMc01297,SMc01104,SMc01291,SMc03071,SMc02100,SMc01310
SMc01300,SMc02911,SMc02868,SM_b21208,SMc02692,SMc01291
