camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
SinmeB_5822,SinmeB_6160,SM2011_c01215,SM2011_c01010,SM2011_c04325,SM2011_b21403
SinmeB_6203,SM2011_c01215,SinmeB_6186,SM2011_c03049,SM2011_c03863,SM2011_c01296
SinmeB_6175,SM2011_c03049,SM2011_c03863,SM2011_c04325,SM2011_c03046,SM2011_c00815
SM2011_c02282,SM2011_c01010,SM2011_c03046,SinmeB_6190,SM2011_c00591,SinmeB_6159
SM2011_c03051,SinmeB_6190,SM2011_c00591,SM2011_c03034,SM2011_c03034,SM2011_c02695
SM2011_c01907,SM2011_c01109,SM2011_c00986,SM2011_c01109,SM2011_c02480,SM2011_c03040
SM2011_c03047,SM2011_c00986,SinmeB_5536,SM2011_c02480,SinmeB_5536,SM2011_c00485
SM2011_c03030,SinmeB_6158,SM2011_c03032,SinmeB_6158,SinmeB_6172,SM2011_c03049
SM2011_c03044,SM2011_c03029,SinmeB_6172,SinmeB_5822,SM2011_c03032,SinmeB_6190
SM2011_c03112,SM2011_c01095,SM2011_c01095,SM2011_c03773,SM2011_c04346,SinmeB_6186
SM2011_c02485,SM2011_c03773,SM2011_c03029,SinmeB_6203,SinmeB_5822,SM2011_c03046
SM2011_c01907,SM2011_c01109,SM2011_c04346,SM2011_c01109,SinmeB_6203,SM2011_c01010
SM2011_c03818,SinmeB_6175,SM2011_c03969,SM2011_b21183,SM2011_c03969,SinmeB_6158
SinmeB_6211,SM2011_b21183,SM2011_b21403,,SM2011_b21403,SM2011_c01109
SM2011_c03172,,SinmeB_6175,,SM2011_c04346,SM2011_c03863
SM2011_c03112,,SM2011_c03050,,SM2011_c03050,SM2011_c00591
,,SM2011_c04346,,SM2011_c03030,
