sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut verb
138,SM2011_c01314,128,20,720,20,813,65
139,SM2011_c01313,704,720,900,813,900,197
140,SM2011_c01312,692,571,694,571,581,706
141,SM2011_c01311,702,691,581,551,694,588
142,SM2011_c01310,805,668,668,300,223,585
143,SM2011_c01309,286,300,691,595,551,703
144,SM2011_c01308,731,666,223,666,595,167
145,SM2011_c01307,302,582,265,847,265,571
146,SM2011_c01306,598,847,864,,864,20
147,SM2011_c01305,277,,582,,778,306
148,SM2011_c01304,279,,707,,707,116
149,SM2011_c01303,,,778,,692,
150,SM2011_c01302,,,,,,
151,SM2011_c01301,,,,,,
152,SM2011_c01300,,,,,,
153,SM2011_c01299,,,,,,
154,SM2011_c01298,,,,,,
155,SM2011_c01297,,,,,,
156,SM2011_c01296,,,,,,
157,SM2011_c01295,,,,,,
158,SM2011_c01294,,,,,,
159,SM2011_c01293,,,,,,
160,SM2011_c01292,,,,,,
161,SM2011_c01291,,,,,,
162,SM2011_c01290,,,,,,
163,SM2011_c01287,,,,,,
164,SM2011_c01286,,,,,,
165,SM2011_c01285,,,,,,
166,SM2011_c01283,,,,,,
167,SM2011_c01010,,,,,,
168,SM2011_c02101,,,,,,
169,SM2011_c02100,,,,,,
170,SM2011_c02099,,,,,,
171,SM2011_c02092,,,,,,
172,SM2011_c02091,,,,,,
173,SM2011_c02090,,,,,,
174,SM2011_c02073,,,,,,
175,SM2011_c02050,,,,,,
176,SM2011_c06500,,,,,,
177,SM2011_c01242,,,,,,
178,SM2011_c01237,,,,,,
179,SM2011_c01235,,,,,,
180,SM2011_c01231,,,,,,
181,SM2011_c01215,,,,,,
182,SM2011_c01207,,,,,,
183,SM2011_c01206,,,,,,
184,SM2011_c01192,,,,,,
185,SM2011_c00943,,,,,,
186,SM2011_c00953,,,,,,
187,SM2011_c00282,,,,,,
188,SM2011_c00293,,,,,,
189,SM2011_c00294,,,,,,
190,SM2011_c00528,,,,,,
191,SM2011_c00526,,,,,,
192,SM2011_c00518,,,,,,
193,SM2011_c00517,,,,,,
194,SM2011_c00495,,,,,,
195,SM2011_c00494,,,,,,
196,SM2011_c00488,,,,,,
197,SM2011_c00485,,,,,,
198,SM2011_c00185,,,,,,
199,SM2011_c00141,,,,,,
200,SM2011_c00198,,,,,,
201,SM2011_c00137,,,,,,
202,SM2011_c00134,,,,,,
203,SM2011_c04214,,,,,,
204,SM2011_c04236,,,,,,
205,SM2011_c04238,,,,,,
206,SM2011_c04252,,,,,,
207,SM2011_c04273,,,,,,
