sample,id,FoldChange
1,SM2011_c02755,2.23112998803986
2,SM2011_c02582,3.28907507299392
3,SM2011_c02594,0.216042638939461
4,SM2011_c02616,0.469363633285296
5,SM2011_c04148,0.434296652244551
6,SM2011_c04146,0.39645739713826
7,SM2011_c02841,0.476953166952965
8,SM2011_c02857,2.37659152600539
9,SM2011_c02871,0.263832352436879
10,SM2011_c00325,3.18009719932381
11,SM2011_c00334,2.03529954131625
12,SM2011_c00335,3.11485464000541
13,SM2011_c00345,0.4994989664683
14,SM2011_c00363,2.39278316636243
15,SM2011_c00364,3.02996875348434
16,SM2011_c00365,2.19546111144197
17,SM2011_c00366,2.14681705723345
18,SM2011_c00409,2.59027723229882
19,SM2011_c00427,2.13117011349194
20,SM2011_c01109,3.34128801359472
21,SM2011_c01104,5.83093020859617
22,SM2011_c01095,2.44615692652651
23,SM2011_c01090,2.99292092425642
24,SM2011_c01723,0.28583839532678
25,SM2011_c01720,2.17034694363765
26,SM2011_c02174,0.364396488799158
27,SM2011_c02136,2.04655623144213
28,SM2011_c02250,0.455117722896907
29,SM2011_c02254,0.207616149536312
30,SM2011_c02255,0.326175130760822
31,SM2011_c02277,0.495288991672085
32,SM2011_c02282,2.41836176863403
33,SM2011_c02284,2.06426399753634
34,SM2011_c02324,0.459334614734963
35,SM2011_c03004,9.40897821249571
36,SM2011_c03005,3.64201278047786
37,SM2011_c03006,2.5107044458863
38,SM2011_c03007,4.32252150666204
39,SM2011_c03008,4.31691094120663
40,SM2011_c03009,11.9020148348508
41,SM2011_c03010,9.97262843124989
42,SM2011_c03011,2.60996142853299
43,SM2011_c03012,8.73328178243422
44,SM2011_c03014,14.1678391302691
45,SM2011_c03019,9.20281695214615
46,SM2011_c03020,12.709733888898
47,SM2011_c03021,5.25632425075668
48,SM2011_c03022,9.89260438952922
49,SM2011_c03023,11.237891831948
50,SM2011_c03024,12.2656979907651
51,SM2011_c03025,10.7144884733528
52,SM2011_c03026,11.4478751723404
53,SM2011_c03027,10.3001363830538
54,SM2011_c03028,10.9748750840746
55,SM2011_c03029,12.2024474445258
56,SM2011_c03030,20.0394008985391
57,SM2011_c03031,6.57264039096772
58,SM2011_c03032,4.15300799179608
59,SM2011_c03033,4.5953412404022
60,SM2011_c03034,8.24681002058595
61,SM2011_c03035,9.48426083374501
62,SM2011_c03037,3.03780440062438
63,SM2011_c03038,2.49514444979915
64,SM2011_c03039,4.54836586649297
65,SM2011_c03040,2.71667326370901
66,SM2011_c03041,10.854915016681
67,SM2011_c03042,8.39093690882439
68,SM2011_c03044,12.3986910596738
69,SM2011_c03045,3.51637802395664
70,SM2011_c03046,8.83040023477887
71,SM2011_c03047,8.35958751773496
72,SM2011_c03048,8.3455546265499
73,SM2011_c03049,9.13188500332192
74,SM2011_c03050,8.11298843582533
75,SM2011_c03051,7.13002212268531
76,SM2011_c03052,13.310214131019
77,SM2011_c03054,2.3092707459532
78,SM2011_c03071,6.49952797980815
79,SM2011_c03072,3.46652042975799
80,SM2011_c03057,8.12016616531779
81,SM2011_c00765,4.41824230174023
82,SM2011_c00766,0.389773843711275
83,SM2011_c00772,0.403742015467998
84,SM2011_c00777,2.80961320388011
85,SM2011_c00795,0.410134798901379
86,SM2011_c00800,0.362995788451682
87,SM2011_c00801,0.212059086165373
88,SM2011_c00815,2.99073635105354
89,SM2011_c00816,2.41357625116605
90,SM2011_c00925,2.19007802645893
91,SM2011_c00922,0.497187645239675
92,SM2011_c00918,2.00595651133468
93,SM2011_c00913,2.91203940325875
94,SM2011_c00912,3.01741737154423
95,SM2011_c00908,2.08206376919263
96,SM2011_c00888,2.42899569999436
97,SM2011_c00887,2.93068010721129
98,SM2011_c00885,0.478657881559729
99,SM2011_c00993,2.013832486675
100,SM2011_c00986,9.9826460209168
101,SM2011_c00982,0.284053532182712
102,SM2011_c00980,0.480045399867033
103,SM2011_c00975,2.60821818638699
104,SM2011_c00077,2.07899746634754
105,SM2011_c00084,0.356110949333487
106,SM2011_c00088,4.68603664766367
107,SM2011_c00032,0.488036013092127
108,SM2011_c02376,2.49990145913551
109,SM2011_c02648,0.388075744831876
110,SM2011_c02636,2.92082632145079
111,SM2011_c02633,0.485631038600691
112,SM2011_c00565,3.36778806401873
113,SM2011_c00567,2.55154479156199
114,SM2011_c00568,2.37057579591469
115,SM2011_c00590,2.24324341316562
116,SM2011_c00591,2.777399756539
117,SM2011_c00595,2.42975378808203
118,SM2011_c00607,0.476118118737268
119,SM2011_c00611,0.439479086330243
120,SM2011_c00615,2.14150863873825
121,SM2011_c00622,2.09307636983388
122,SM2011_c01756,2.38758834928755
123,SM2011_c01777,2.31820420426438
124,SM2011_c01780,0.489927708317002
125,SM2011_c01803,2.32700026009963
126,SM2011_c01804,3.18240961257578
127,SM2011_c01906,2.13216585422196
128,SM2011_c01907,2.88587149404423
129,SM2011_c01349,2.20240597194742
130,SM2011_c01333,2.86021836979206
131,SM2011_c01326,2.37988795644299
132,SM2011_c01321,2.31554080215266
133,SM2011_c01320,2.65572866224756
134,SM2011_c01319,3.03697137197954
135,SM2011_c01318,3.12204246604926
136,SM2011_c01317,2.51544329032426
137,SM2011_c01316,2.26773700167833
138,SM2011_c01314,3.64891190341828
139,SM2011_c01313,3.90291232378862
140,SM2011_c01312,3.1946009083894
141,SM2011_c01311,4.69226210468006
142,SM2011_c01310,3.02383683620659
143,SM2011_c01309,3.25806304965672
144,SM2011_c01308,3.53858477054546
145,SM2011_c01307,3.72500615136321
146,SM2011_c01306,4.04264609103059
147,SM2011_c01305,2.89760734013772
148,SM2011_c01304,3.57499481381735
149,SM2011_c01303,2.68722217709263
150,SM2011_c01302,3.45902435316258
151,SM2011_c01301,3.8439213084124
152,SM2011_c01300,3.19599913987532
153,SM2011_c01299,3.29467537450836
154,SM2011_c01298,2.54570482297286
155,SM2011_c01297,2.97423817073565
156,SM2011_c01296,3.23261889049105
157,SM2011_c01295,3.1355099288436
158,SM2011_c01294,3.43486390450599
159,SM2011_c01293,3.08350818954331
160,SM2011_c01292,3.37659765153846
161,SM2011_c01291,2.77884658075873
162,SM2011_c01290,2.46220567798517
163,SM2011_c01287,2.36237398764315
164,SM2011_c01286,2.67865253648901
165,SM2011_c01285,2.87866542229477
166,SM2011_c01283,3.41409547305818
167,SM2011_c01010,2.59415790799288
168,SM2011_c02101,2.94159422637179
169,SM2011_c02100,3.82258485933974
170,SM2011_c02099,2.02622286721072
171,SM2011_c02092,2.63418165996826
172,SM2011_c02091,2.01297705955496
173,SM2011_c02090,2.03907469520439
174,SM2011_c02073,2.36040551621454
175,SM2011_c02050,2.38016333891095
