sample,average,sd,ratio,ava,avb,cumsum
646,0.005566042948905,0.068610244124352,0.081125537737724,0,0.084937005459119,0.005566042948905
356,0.005073622143433,0.063643178438457,0.079719810793855,0,0.049585707786255,0.010639665092338
355,0.004874797036792,0.061823458756838,0.078850280052513,0.040812863607694,0,0.01551446212913
543,0.004524199834778,0.058110397261814,0.077855255650625,0,0.029611134252184,0.020038661963908
547,0.004521834157608,0.058086429769766,0.077846653263607,0,0.029549058997598,0.024560496121515
542,0.004444821014286,0.057536271804745,0.077252503070933,0.027345416288422,0,0.029005317135802
619,0.004359549999655,0.053754337590298,0.081101362142752,0,0.06588592852042,0.033364867135456
561,0.004349917256155,0.052546047204689,0.082782958710686,0.254208348339834,0,0.037714784391612
611,0.00433169295845,0.056393305730017,0.076812183686976,0.024727034353214,0,0.042046477350061
36,0.004328005533641,0.056115300603806,0.077127013257907,0,0.024945293016972,0.046374482883703
200,0.004165489236785,0.054449108789545,0.076502431892609,0,0.021716208941869,0.050539972120488
135,0.004165384595911,0.054697091436655,0.07615367630169,0.021383852507187,0,0.054705356716399
785,0.004118527171177,0.054215324880922,0.075966107004307,0.020536866084283,0,0.058823883887576
142,0.004109238419105,0.053868987764011,0.076282079721025,0,0.020711211206895,0.062933122306681
110,0.004088015324453,0.053900630891846,0.075843552418825,0.020005659735964,0,0.067021137631135
147,0.00407870343367,0.05380443087048,0.075806088228843,0.019846625617382,0,0.071099841064805
40,0.003984757448123,0.048744984745359,0.081747024210568,0,0.081520649553773,0.075084598512928
546,0.003975361526529,0.052731629899663,0.07538855776112,0.018173309014894,0,0.079059960039457
907,0.003962579989693,0.052347071961138,0.075698216561858,0,0.018326588311268,0.08302254002915
298,0.003933703954021,0.052296375422006,0.075219437719682,0.017543595443894,0,0.086956243983171
103,0.003931723628833,0.052024998230817,0.07557373882819,0,0.017864508125938,0.090887967612003
113,0.003929157061192,0.052248766499643,0.075200953523355,0.017476334188781,0,0.094817124673196
18,0.003923370445262,0.051937690833262,0.075539947624109,0,0.017741624878759,0.098740495118458
605,0.003916148943082,0.052112451459319,0.075148046837496,0.017285471919528,0,0.102656644061539
198,0.003906405043663,0.052010233882117,0.075108392177531,0.017144007139112,0,0.106563049105202
