sample,average,sd,ratio,ava,avb,cumsum
646,0.005531686302307,0.068024373394394,0.081319180556576,0.084937005459119,0,0.005531686302307
356,0.005009664486592,0.062646709894809,0.079966920768924,0.049585707786255,0,0.010541350788899
560,0.00461099655425,0.055499207381631,0.083082205526715,0,0.277197076483452,0.015152347343149
543,0.004426466912534,0.056693142340712,0.078077642723203,0.029611134252184,0,0.019578814255683
547,0.004423963085824,0.056667542763075,0.078068729825121,0.029549058997598,0,0.024002777341507
851,0.004367505241356,0.05664628333052,0.077101355721298,0,0.025027574795217,0.028370282582863
619,0.004332182136205,0.053288627393224,0.08129656078842,0.06588592852042,0,0.032702464719067
621,0.004331651898513,0.056283713529575,0.076961018150256,0,0.024254363347758,0.037034116617581
589,0.004306088462156,0.056024662161808,0.076860587748294,0,0.023719809343658,0.041340205079737
263,0.00425335814535,0.055488831722422,0.076652508501665,0,0.022659182552496,0.045593563225087
36,0.004219179177836,0.054569077468293,0.077318132788439,0.024945293016972,0,0.049812742402923
453,0.004193377334497,0.054876781946213,0.076414417642192,0,0.021517758324777,0.054006119737421
62,0.004162206325724,0.054557590029934,0.076290142644506,0,0.02095037517672,0.058168326063145
627,0.004150283347686,0.054435289279882,0.076242514783879,0,0.020737826634465,0.062318609410831
23,0.004144796714961,0.054378970318852,0.076220581056581,0,0.020640833960389,0.066463406125793
200,0.004048121974427,0.052806307048893,0.076659819643867,0.021716208941869,0,0.070511528100219
164,0.00401406052616,0.053029318003647,0.075695118799834,0,0.01847346576889,0.07452558862638
142,0.003989071745677,0.052194998531342,0.076426321638497,0.020711211206895,0,0.078514660372057
42,0.00398320762037,0.052708560264131,0.075570412100222,0,0.017999733989883,0.082497867992427
40,0.003970492204345,0.048484293361038,0.081892339335114,0.081520649553773,0,0.086468360196772
545,0.003966993341362,0.052539630820143,0.0755047814276,0,0.017756169253645,0.090435353538134
136,0.00393925537229,0.052250055498879,0.075392367236325,0,0.017347884760857,0.094374608910423
625,0.003934424478544,0.052199546102277,0.075372771840489,0,0.017277839789347,0.098309033388967
96,0.003897434842189,0.051812037369477,0.075222574522526,0,0.01675169448272,0.102206468231157
174,0.003863075927151,0.051450857524991,0.075082828799787,0,0.016278658732514,0.106069544158308
649,0.00385174900255,0.051331524722715,0.075036715222391,0,0.016125928457771,0.109921293160857
188,0.003849878415938,0.051311804743037,0.075029097791787,0,0.016100856431669,0.113771171576796
123,0.003841389938723,0.051222272448834,0.074994523965335,0,0.015987615201823,0.117612561515519
132,0.003840006896212,0.051207677696436,0.074988889732048,0,0.015969246911398,0.121452568411731
907,0.00383552982987,0.05059725793473,0.075805092734818,0.018326588311268,0,0.125288098241601
46,0.00382360679737,0.046529265259692,0.082176384605021,0,0.087653337164814,0.12911170503897
276,0.00382343571396,0.051032652414599,0.074921359816803,0,0.01575094027308,0.13293514075293
610,0.003821078670593,0.051007733839258,0.074911751277451,0,0.015720153323994,0.136756219423523
243,0.003805958958044,0.050847749140813,0.074850097051582,0,0.015524211556873,0.140562178381568
103,0.003803305357841,0.050260242579452,0.075672244355538,0.017864508125938,0,0.144365483739408
18,0.003794586765266,0.05016895069444,0.075636159671303,0.017741624878759,0,0.148160070504675
607,0.003793646158521,0.050717285374429,0.074799866170164,0,0.015366602107049,0.151953716663196
56,0.003782198261096,0.04582072791429,0.082543391020988,0.137256170537939,0,0.155735914924292
633,0.00377951024648,0.050567303905371,0.074742174381154,0,0.015187789584666,0.159515425170772
154,0.003772646870738,0.04993900727597,0.075545091433038,0.017436334403924,0,0.16328807204151
808,0.003763194477382,0.050393925730583,0.074675557080043,0,0.014984195219421,0.167051266518892
536,0.003757175600964,0.049776673079667,0.075480649238061,0.017224390094998,0,0.170808442119856
259,0.00375206890805,0.050275534486184,0.074630114754552,0,0.014847056701509,0.174560511027906
120,0.003745688904205,0.050207581314518,0.074604049948969,0,0.014769025094747,0.178306199932111
199,0.003743600816833,0.050185331449626,0.074595518425346,0,0.014743582494688,0.182049800748944
127,0.003740393312117,0.050151144134481,0.074582412359073,0,0.014704592098083,0.185790194061061
52,0.003730835202771,0.045536942328033,0.081929857650416,0.07841010392014,0,0.189521029263832
162,0.003730434429983,0.049495716155763,0.075368834309676,0.016864422451953,0,0.193251463693815
76,0.00370393034342,0.045084323517714,0.082155615398434,0.091165850212459,0,0.196955394037234
235,0.003703265041556,0.049754578938258,0.07443063775399,0,0.014261244039952,0.20065865907879
225,0.003695337480103,0.049669704882275,0.074398216958646,0,0.014168452993525,0.204353996558894
14,0.003694179158754,0.049114023276214,0.075216382457159,0.016388925797003,0,0.208048175717647
304,0.003691881698335,0.049089804939581,0.075206689105389,0.01635926982521,0,0.211740057415982
44,0.003690295454996,0.044873935499501,0.082236946992035,0.097039994042939,0,0.215430352870979
114,0.003682349325824,0.048989280883436,0.075166429460062,0.016236820519964,0,0.219112702196803
568,0.003681983568458,0.049526574334372,0.07434359468513,0,0.014013606242694,0.22279468576526
170,0.003678538298368,0.049489614163152,0.074329500453179,0,0.01397395080835,0.226473224063628
272,0.00367588397872,0.049461129914328,0.074318641427864,0,0.013943481142453,0.230149108042348
182,0.003675863847968,0.049460913854837,0.074318559069824,0,0.013943250327589,0.233824971890316
237,0.003675264183449,0.049454477558386,0.074316105738059,0,0.013936376576,0.237500236073765
66,0.003668785889633,0.044759745119552,0.081966192609763,0,0.074861482873662,0.241169021963398
92,0.003666311358579,0.049358336491891,0.074279475751405,0,0.013834182836791,0.244835333321978
207,0.003642464825791,0.048567965102329,0.074997270693068,0.015734719136736,0,0.248477798147768
203,0.003634093313918,0.048479384494701,0.074961622384361,0.015631390099327,0,0.252111891461686
