sample,average,sd,ratio,ava,avb,cumsum
288,0.006832467822983,0.07351943013016,0.092934178228625,0.050910413460206,0,0.006832467822983
471,0.006440931688825,0.069624633261421,0.092509380475174,0,0.035377507219447,0.013273399511809
86,0.006126506198955,0.067094083927046,0.091312167040189,0.031690232960168,0,0.019399905710763
250,0.006116514440263,0.066701266061752,0.091700125071096,0,0.028856892533925,0.025516420151026
472,0.006081198646069,0.066681707722176,0.091197404112768,0.030801583327319,0,0.031597618797095
214,0.006071068247763,0.066291215174188,0.091581791521099,0,0.028065957534669,0.037668687044858
254,0.006037641367712,0.065989475895311,0.091494003942234,0,0.027500897038864,0.04370632841257
283,0.006006798690885,0.065710950571119,0.091412445546403,0,0.026991626997556,0.049713127103454
348,0.006000493684048,0.065653998876308,0.091395707599668,0,0.026888917461879,0.055713620787502
606,0.005965893039907,0.065341367986652,0.091303460942622,0,0.026333521528989,0.061679513827409
280,0.005959539568335,0.065573633327239,0.09088316852285,0.028561802090426,0,0.067639053395744
176,0.005926334724323,0.065270962162379,0.090795884233784,0.027985113971879,0,0.073565388120067
156,0.005844191630202,0.064240362415863,0.090973827208025,0,0.024485403946142,0.079409579750269
137,0.005842713235848,0.064226972976534,0.09096977430312,0,0.024463913487922,0.085252292986117
163,0.005800771238113,0.064125232880392,0.090460041664611,0.025926701228493,0,0.09105306422423
299,0.00578772193751,0.064006040370938,0.090424620925905,0.025723275746333,0,0.09684078616174
194,0.005755890692615,0.063439939134896,0.090729763790842,0,0.023239698144386,0.102596676854355
357,0.005670651868527,0.062665780149411,0.090490405688818,0,0.022106573837318,0.108267328722881
298,0.005656440260819,0.062536550307353,0.090450148481475,0,0.02192391739468,0.1139237689837
291,0.005640700087136,0.062393365660699,0.090405446595246,0,0.021723634917895,0.119564469070836
195,0.005635824738953,0.062616592248418,0.09000529311136,0.023488010842198,0,0.12520029380979
157,0.005633014933442,0.062590851782875,0.089997416123727,0.023448847801671,0,0.130833308743232
308,0.00562837508469,0.062281206771112,0.090370360121228,0,0.02156827200381,0.136461683827922
