sample,average,sd,ratio,ava,avb,cumsum
288,0.006746722037424,0.072989494095137,0.092434152627914,0.050910413460206,0,0.006746722037424
86,0.006046373237662,0.066611729581716,0.090770398481321,0.031690232960168,0,0.012793095275086
472,0.006001483836654,0.066199790815063,0.09065714200547,0.030801583327319,0,0.01879457911174
301,0.005989720072345,0.065754499255418,0.091092170728546,0,0.027367513764545,0.024784299184085
180,0.005968415234427,0.065561244194397,0.091035722518174,0,0.027012722365937,0.030752714418512
280,0.005880934381397,0.065090965951907,0.090349471626253,0.028561802090426,0,0.036633648799909
212,0.005852291501761,0.064506850700424,0.09072356560917,0,0.02517289056058,0.04248594030167
176,0.005848026799263,0.064787587547536,0.09026461735394,0.027985113971879,0,0.048333967100933
204,0.005806558671141,0.06409104628065,0.09059859384593,0,0.024489417747373,0.054140525772075
163,0.005723554402455,0.063637163795091,0.089940438277306,0.025926701228493,0,0.05986408017453
299,0.005710614914369,0.063517296557464,0.089906454208143,0.025723275746333,0,0.065574695088898
173,0.005683622633242,0.062971441211207,0.090257147111801,0,0.022757438394665,0.07125831772214
293,0.005616527777815,0.06235908452229,0.090067514955373,0,0.021872409840978,0.076874845499955
300,0.00559090673949,0.062124976497607,0.089994508725568,0,0.021544962453358,0.082465752239445
306,0.005588816121862,0.062105866896954,0.089988537333121,0,0.021518492743004,0.088054568361307
184,0.005582039146984,0.062043913654963,0.089969165678791,0,0.021432944089112,0.093636607508291
195,0.005559933739585,0.06211733357669,0.089506960769982,0.023488010842198,0,0.099196541247876
196,0.005557321489634,0.061817855662117,0.089898321934838,0,0.021124205322358,0.10475386273751
157,0.005557145231604,0.062091351807205,0.089499504679149,0.023448847801671,0,0.110311007969114
100,0.005537089090357,0.061904397377414,0.089445812009106,0.023169405426918,0,0.115848097059471
179,0.005533337127011,0.061869407076271,0.089435754898855,0.023117561525303,0,0.121381434186482
551,0.005512572631298,0.06140820398429,0.089769318651768,0,0.020578085744721,0.12689400681778
199,0.005507704233172,0.061630220374443,0.089366940434567,0.022766961805505,0,0.132401711050952
203,0.005507190156281,0.061625420923889,0.089365558461374,0.022759993904231,0,0.137908901207233
85,0.005495795133644,0.061254478584975,0.089720707131975,0,0.020377483883393,0.143404696340877
289,0.005489334360772,0.06119526073815,0.089701952317204,0,0.020300827199876,0.14889403070165
160,0.005483462303033,0.061141428948579,0.089684889563904,0,0.02023143886321,0.154377493004682
285,0.005467199974694,0.060992294809549,0.08963755162461,0,0.02004066839845,0.159844692979376
252,0.005461101476628,0.060936349178832,0.089619768007454,0,0.019969652848396,0.165305794456005
674,0.005451029859775,0.06110050866875,0.089214148597795,0.022013457335077,0,0.170756824315779
94,0.005445483973723,0.060793030884978,0.089574148458336,0,0.019789082038466,0.176202308289502
231,0.00543366692196,0.060684541586369,0.089539556201906,0,0.019653675013385,0.181635975211462
235,0.005430000387352,0.060650871771586,0.089528810200818,0,0.019611873841454,0.187065975598814
188,0.005427607075239,0.060628891831739,0.089521792519351,0,0.019584642280341,0.192493582674054
208,0.005425638051955,0.060610807248871,0.089516016998046,0,0.01956227023515,0.197919220726009
675,0.005412451522645,0.060489665250431,0.089477293356433,0,0.019413182884905,0.203331672248654
211,0.005411428844396,0.060729645326095,0.0891068738396,0.02150403113779,0,0.20874310109305
115,0.005406336122605,0.060681907556394,0.089093048328787,0.021439508140516,0,0.214149437215655
191,0.005398910889348,0.060612287122251,0.08907287854786,0.021345831014704,0,0.219548348105003
457,0.005397897588189,0.060355900456246,0.089434463695932,0,0.01925011415632,0.224946245693192
341,0.005376639567378,0.060403335415705,0.089012295933247,0.02106765806309,0,0.23032288526057
273,0.005376134288688,0.060155753556444,0.08937024259273,0,0.019009123244218,0.235699019549258
265,0.005374832011373,0.060143772457639,0.089366393090131,0,0.018994810132548,0.241073851560631
272,0.005372771350262,0.060367023195422,0.089001760661095,0.021019767697213,0,0.246446622910893
248,0.005367568808554,0.060076940407257,0.089344909580403,0,0.018915201972369,0.251814191719446
183,0.00536474925424,0.060291697939296,0.088979900012799,0.020920846719093,0,0.257178940973687
112,0.00536177529042,0.060023619668105,0.089327756640923,0,0.018851969276192,0.262540716264107
269,0.005351043922804,0.059924825149157,0.089295945536508,0,0.018735464851233,0.267891760186911
586,0.005346996921636,0.05988755829288,0.08928393599697,0,0.018691737376654,0.273238757108547
227,0.005346943479154,0.060124413467122,0.088931320420744,0.020703177304079,0,0.278585700587701
234,0.005335896773848,0.060020565109698,0.088901141868559,0.020569434396949,0,0.283921597361549
242,0.005311865452598,0.059563825483971,0.089179387143756,0,0.018316878906786,0.289233462814147
255,0.005307787428412,0.059756086410862,0.088824214355625,0.020233527078038,0,0.294541250242559
277,0.00529925823851,0.059447551524246,0.089141740957138,0,0.018184398611594,0.299840508481069
146,0.005274053764901,0.059438252423542,0.088731642500515,0.019838602147845,0,0.30511456224597
276,0.005266864953044,0.059370458058754,0.088711880036906,0.019755574475026,0,0.310381427199015
482,0.005250394345861,0.059215047883667,0.088666555774399,0.019566822347202,0,0.315631821544876
238,0.00524082764534,0.059124726566704,0.0886402009729,0.019458123390223,0,0.320872649190216
619,0.00523036923046,0.059025940934745,0.088611365573009,0.019340070518718,0,0.326103018420676
169,0.005217078480603,0.058900333394287,0.088574685064674,0.019191208262211,0,0.331320096901279
230,0.00521406742299,0.058871865877389,0.088566369441205,0.019157662369895,0,0.336534164324269
430,0.0052128450768,0.058860308280729,0.088562993111388,0.01914406314037,0,0.341747009401069
284,0.005209224763835,0.058826073430042,0.088552991217913,0.019103848878059,0,0.346956234164904
264,0.005179369160031,0.058543527584043,0.08847039756181,0.018775803901661,0,0.352135603324935
118,0.005171236605016,0.058466494146771,0.088447865405338,0.018687542498672,0,0.35730683992995
172,0.005155106245984,0.058313615418911,0.08840313208075,0.018513850858659,0,0.362461946175934
649,0.005149691612808,0.058262270702219,0.088388103497179,0.01845595076236,0,0.367611637788743
468,0.004384268742971,0.047311336257264,0.092668461510584,0.035231256444154,0,0.371995906531713
469,0.004335004443502,0.046329306419553,0.093569379265999,0,0.034632688558453,0.376330910975215
108,0.004084925028236,0.042743458725846,0.095568424970852,0,0.142056200637197,0.380415836003451
107,0.004027515774979,0.042601424601981,0.094539462297499,0.067745139072101,0,0.38444335177843
200,0.003929387061337,0.04226563399082,0.092968842303182,0,0.026437604160272,0.388372738839766
281,0.00382632004353,0.041247747862918,0.092764338461499,0,0.024457161295957,0.392199058883297
643,0.00379377260335,0.040860912379691,0.09284600813847,0.032060660425908,0,0.395992831486647
329,0.003786624284992,0.040253220916947,0.094070094236812,0,0.036138917066207,0.399779455771639
219,0.003767213512167,0.040959715773643,0.091973624352901,0.025373883059084,0,0.403546669283806
216,0.003747405759273,0.040413857205308,0.092725763349837,0,0.023730099738567,0.407294075043079
622,0.003712962563165,0.040312422781009,0.092104674118317,0.025798912395508,0,0.411007037606244
239,0.003637747669169,0.039251413972311,0.092678130569651,0,0.022774710687506,0.414644785275413
87,0.003634483168067,0.03915918429577,0.092813045864698,0,0.023509982502443,0.418279268443481
220,0.00362298312999,0.038911037807151,0.093109393482293,0,0.025298256592278,0.421902251573471
