camp_lodi,camp_verb,lodi_verb
SMc00320,SMc00494,SMc02796
SMc02726,SM_b21346,SMc02735
SMc01304,SMc03012,SMc01907
SM_b20347,SMc01303,SMc01293
SM_b21294,SMc01319,SMc01309
SMc01296,SMc01299,SMc00567
SMc02575,SMc00365,SMc01295
SMc01297,SMc01320,SMc01804
SMa0175,SMc01296,SMc01321
SMc01314,SMc00494,SMc00335
SMc01804,SMc00568,SMc00324
SMc01268,SMc03242,SMc01301
SM_b21277,SMc00332,SMc00399
SM_b21346,SMc02796,SMc00320
SMc01465,SMc01907,SMc01465
SMc02735,SM_b21346,SM_b21294
SMc02443,SMc01030,SM_b21174
SMc00147,SMc03137,SMc01542
SMc00365,SMc00638,SMc01299
SMc01296,SMc02601,SMc01095
SMc01320,SMc04346,SMc02575
SMc00568,SMa1379,SMc01542
SMc00332,SM_b20551,SMc01756
SMc03857,SMc00399,SM_b20347
SMc03211,SMc01720,SMc00320
SMc02857,SM_b21277,SMc00638
SMc04059,SMc03773,SM_b20551
SM_b21096,SM_b21438,SMc01297
SMc00908,SMc00815,SMc01314
SM_b21346,SMc01300,SMc00362
SMc01030,SMc04049,SMc01319
SMc02601,SMc02601,SMc01095
SMc03157,SMc01366,SMc01804
SMc02890,SMa0005,SMc03211
SMa1747,SMc01268,SMc00362
SMc04316,SMc02111,SMc03012
SM_b21277,SMc00365,SMc00324
SMc02050,SMc01320,SMc01303
SMc00815,SMc00332,SMc00147
SMc01300,SMa0316,SMc02735
SMc00821,SMc00568,SMc01465
SM_b21257,SM_b21221,SMc00494
SMc03017,SM_b21297,SMc02443
SMc02601,SM_b20660,SMc01299
SMc01268,SMc01030,SMc03242
SMc00365,SMc03970,SMc00494
SMc01320,SMc02726,SMc03137
SMc00332,SMa0892,SMc02796
SMc00568,SMc01869,SMc03857
SM_b20409,SMc01267,SMc02857
SMa1076,SMa1809,SMc01907
SM_b20600,SMa0175,SMa1379
SMc01030,SMc02470,SMc04059
SMc02726,SMc02471,SMc00908
SMc03884,SMc00105,SM_b21096
SMa2041,SMc04300,SMc04346
SMc01869,SM_b21284,SMc03157
SM_b21207,SMc05008,SMc00638
SM_b21491,SMc02981,SMc02890
SMc03999,SMc04276,SM_b20551
SMa0175,SMc01959,SMc04316
SMc02471,SMc01592,SMa1747
SMa1208,SMc00014,SMc00821
SMc03211,SMc00926,SMc00399
SMc01959,SMc03981,SMc01720
SMc03168,SM_b21225,SMc03773
SMc01592,SM_b20013,SM_b21438
SMc00014,SMc01497,SMc02050
SMc00926,SMc00506,SM_b21257
SMc03981,SMc03103,SMc03017
SMa2414,SMa1078,SM_b21221
SM_b21225,SMc00404,SMc04049
SMc00651,SM_b21293,SM_b21207
SM_b20013,SM_b20080,SMc01366
SMc01497,SMc04183,SMa0005
SMc00506,SMa2337,SMc02111
SMa1819,SMa1103,SM_b21284
SMc03103,SMc02545,SMc00105
SMc01982,SM_b21284,SMc03168
SMc00404,SMc03137,SMa0316
SM_b21558,SMa0678,SMc02470
SM_b21293,SMc00105,SMc03211
SM_b20080,SMa0697,SM_b21297
SMc04183,SMc00105,SM_b20660
SMa1103,SM_b21489,SMc04300
SMc02545,SM_b21284,SMc03970
