sample,average,sd,ratio,ava,avb,cumsum
316,0.002171132502865,0.040837329820508,0.053165388442583,0.011527507625349,0,0.002171132502865
90,0.002164672615929,0.040737891717711,0.053136589171792,0.01137941154908,0,0.004335805118794
441,0.002110909316156,0.03990866774256,0.052893504984261,0.010234840014317,0,0.00644671443495
139,0.00210242872772,0.039777569122579,0.052854630740286,0.010067607094499,0,0.008549143162671
425,0.002092933005121,0.039630671518269,0.052810939732789,0.009884339635832,0,0.010642076167792
725,0.002077998073045,0.039468265801832,0.052649844902702,0,0.009367691404222,0.012720074240837
284,0.002075827538622,0.039365755500111,0.052731809976718,0.009564440908423,0,0.014795901779459
1300,0.002068419620772,0.039250904049505,0.052697375279894,0.009429845233357,0,0.016864321400231
239,0.00205751535223,0.039152422883569,0.052551418295338,0,0.009004623961304,0.018921836752461
389,0.002056766487621,0.039140861379256,0.052547808483119,0,0.008991677066727,0.020978603240083
724,0.00205460574532,0.039036527008932,0.052632903148626,0.009184980044887,0,0.023033208985402
642,0.002046195781852,0.038977554207683,0.052496772140939,0,0.008811307424412,0.025079404767254
300,0.002034038466187,0.038716817625546,0.052536303108882,0.008834560177399,0,0.027113443233441
361,0.00202692500622,0.038606088846201,0.052502728631614,0.008717144266331,0,0.029140368239661
387,0.002024801644587,0.038646391805368,0.052393032052875,0,0.008459446578459,0.031165169884248
336,0.002024653152358,0.038644090173613,0.052392310008137,0,0.008457064152896,0.033189823036606
257,0.002023703419398,0.038629368266058,0.052387691288657,0,0.008441845592224,0.035213526456004
335,0.002023376181628,0.038550817144267,0.052485947938704,0.008659271200451,0,0.037236902637633
179,0.00202011929894,0.038500074302165,0.052470529877036,0.008606566038987,0,0.039257021936573
321,0.002009473957409,0.038408579205389,0.052318362172776,0,0.008217720465575,0.041266495893982
328,0.002007195840242,0.038298551026023,0.052409184850834,0.008401196014004,0,0.043273691734224
402,0.002003220708421,0.038236507645498,0.052390263436022,0.008339212606536,0,0.045276912442645
411,0.001998920988827,0.038244567563603,0.052266795421417,0,0.008056095203203,0.047275833431472
184,0.001996922168339,0.038213476069986,0.052257014375815,0,0.008025911286541,0.049272755599811
230,0.001996509006857,0.038131690288641,0.052358261376412,0.008235796605084,0,0.051269264606669
238,0.001994021312674,0.03809281971215,0.052346382539869,0.008197855502975,0,0.053263285919343
1263,0.001992104066412,0.038138495935841,0.052233419738512,0,0.007953706441352,0.055255389985755
289,0.001990244566122,0.038109544769389,0.052224307011941,0,0.007926046880783,0.057245634551877
172,0.001989846424499,0.038027561901572,0.052326426544225,0.008134650191002,0,0.059235480976376
207,0.001989711169289,0.038101238764999,0.052221692359171,0,0.007918133901133,0.061225192145665
180,0.001989278084899,0.03809449436439,0.052219569207838,0,0.00791171598186,0.063214470230564
223,0.001988045261281,0.038075293445047,0.052213524346177,0,0.007893480524318,0.065202515491844
