sample,id,FoldChange
1,SinmeB_0005,0.419099458052783
2,SinmeB_0016,0.472948763824987
3,SinmeB_0017,0.253565400775907
4,SinmeB_0046,0.439998143603599
5,SinmeB_0075,0.182087491386755
6,SinmeB_0078,0.442217226404467
7,SinmeB_0080,0.267785267405488
8,SinmeB_0085,0.393344405077818
9,SinmeB_0099,0.488538188967352
10,SinmeB_0103,0.459543917153127
11,SinmeB_0104,0.278646253287413
12,SinmeB_0108,0.305102505398249
13,SinmeB_0112,0.372738142108858
14,SinmeB_0131,0.4291345537118
15,SinmeB_0151,0.415344532972845
16,SinmeB_0154,2.88483558317522
17,SinmeB_0155,0.345514972108103
18,SinmeB_0162,0.486879427946334
19,SinmeB_0163,0.413561666808797
20,SinmeB_0206,0.493069095228763
21,SinmeB_0212,2.11631028181565
22,SinmeB_0214,2.00140236635158
23,SinmeB_0220,0.431856798044489
24,SinmeB_0232,0.401438825486594
25,SinmeB_0235,0.329808218524447
26,SinmeB_0238,0.473197663094162
27,SinmeB_0277,0.397898240615079
28,SinmeB_0278,0.447406217051586
29,SinmeB_0279,0.286366831911454
30,SinmeB_0285,2.31026917132924
31,SinmeB_0302,0.451471696894613
32,SinmeB_0309,0.367013465817358
33,SinmeB_0311,0.473326241397367
34,SinmeB_0324,0.438384066441056
35,SinmeB_0329,2.94161274832226
36,SinmeB_0337,2.17057555821771
37,SinmeB_0344,2.25198198273305
38,SinmeB_0349,0.256010934553694
39,SinmeB_0350,0.123365283441793
40,SinmeB_0354,0.278320987121305
41,SinmeB_0355,0.105335263133098
42,SinmeB_0356,0.479675170786486
43,SinmeB_0373,0.368499206030181
44,SinmeB_0378,0.232103730857652
45,SinmeB_0380,3.40084535603309
46,SinmeB_0381,0.372696019276195
47,SinmeB_0382,0.451363429213014
48,SinmeB_0395,0.474024420818405
49,SinmeB_0398,0.302870352285716
50,SinmeB_0399,0.31825082188186
51,SinmeB_0405,5.13902869571405
52,SinmeB_0406,5.16854869790303
53,SinmeB_0420,2.27364735165248
54,SinmeB_0433,0.068193023224023
55,SinmeB_0436,2.34951286111403
56,SinmeB_0437,2.627985901544
57,SinmeB_0438,3.26246353370344
58,SinmeB_0439,2.32054502007988
