camp_lodi,camp_verb,lodi_verb
SinmeB_5993,SM2011_b20938,SinmeB_5993
SM2011_b20939,SinmeB_5989,SM2011_b20939
SM2011_b20938,SM2011_b21566,SinmeB_5989
SinmeB_5805,SinmeB_5991,SinmeB_5805
SinmeB_5817,SinmeB_5801,SinmeB_5817
SinmeB_5801,SM2011_c03169,SM2011_b21566
SM2011_c03167,SinmeB_6191,SM2011_c03167
SinmeB_5991,SM2011_c00703,SM2011_c03169
SM2011_c04293,SM2011_c04293,SinmeB_6191
SM2011_c03005,SinmeB_6015,SM2011_c00703
SM2011_c00198,SM2011_c03037,SM2011_c03005
SM2011_c01318,SM2011_c03825,SinmeB_6015
SM2011_c01497,SM2011_c01090,SM2011_c03037
SM2011_c01310,SM2011_c01318,SM2011_c03825
SM2011_c02636,SM2011_c01286,SM2011_c01090
SM2011_c01305,SM2011_c01497,SM2011_c00198
SM2011_c03009,SM2011_c03011,SM2011_c01286
SinmeB_5816,SM2011_c02636,SM2011_c01310
SinmeB_5723,SinmeB_5811,SM2011_c03011
SM2011_c03770,SM2011_c01305,SM2011_c03009
SM2011_c00975,SM2011_c01317,SinmeB_5811
SM2011_c00567,SM2011_c03807,SM2011_c01317
SM2011_c00409,SM2011_c00888,SM2011_c03807
SM2011_c00045,SM2011_c02073,SM2011_c00888
SM2011_c00185,SM2011_c03020,SM2011_c02073
SM2011_c02376,SinmeB_6050,SinmeB_6050
SM2011_c03038,SinmeB_5816,SM2011_c00293
SM2011_c01298,SM2011_c03012,SM2011_c01777
SinmeB_5746,SM2011_c00293,SM2011_c01321
SM2011_c00595,SM2011_c01777,SinmeB_5723
SM2011_c01290,SM2011_c01321,SM2011_c03020
SM2011_c04454,SM2011_c04059,SM2011_c04059
SM2011_c01326,SM2011_c04290,SM2011_c04290
SM2011_b21295,SM2011_c03770,SM2011_c01501
SM2011_c03012,SM2011_c01501,SM2011_c00975
SM2011_c01287,SM2011_c00567,SM2011_c00409
SM2011_c00363,SM2011_c00948,SM2011_c00948
SM2011_c03858,SM2011_c03004,SM2011_c03030
SM2011_c00568,SM2011_c00045,SM2011_b21438
SinmeB_5539,SM2011_c00185,SM2011_c01298
SM2011_c03030,SM2011_b21438,SM2011_c02487
SM2011_c04273,SM2011_c02376,SinmeB_5746
SM2011_c03004,SM2011_c03038,SM2011_c02450
SM2011_c04214,SM2011_c02487,SM2011_c00615
SM2011_c01499,SM2011_c02450,SM2011_c00141
SM2011_c01812,SM2011_c00615,SM2011_c01906
SM2011_b20647,SM2011_c00141,SM2011_c03026
