sample,average,sd,ratio,ava,avb,cumsum
579,0.005385778668641,0.068136647581326,0.079043787151587,0,0.069530064269937,0.005385778668641
576,0.005362267580652,0.067897359066002,0.078976084702189,0,0.06729326598695,0.010748046249293
578,0.005350017734703,0.06745271432522,0.079315084473965,0.083947904086482,0,0.016098063983996
575,0.005173842859866,0.06564890489628,0.078810802221909,0.067446300409659,0,0.021271906843861
781,0.004790546781019,0.062063808299019,0.0771874448622,0,0.033538184976727,0.02606245362488
564,0.004589933112247,0.059988796876777,0.076513171645616,0,0.027113195877859,0.030652386737127
37,0.004334270983714,0.057306375325683,0.075633312333598,0,0.021004141910136,0.034986657720841
509,0.004273417155448,0.056660451086465,0.075421516657648,0,0.019808456803417,0.039260074876288
566,0.004176131996035,0.055667308765451,0.075019469930384,0.023932765997751,0,0.043436206872323
583,0.004151242193937,0.055353974931684,0.074994473279662,0,0.017647381784843,0.047587449066261
1080,0.004133407979701,0.05516213733835,0.074931976517659,0,0.01735617775784,0.051720857045962
554,0.004108548556641,0.054894236183674,0.074844807802668,0,0.016959788940235,0.055829405602603
526,0.004103590520078,0.054840735562768,0.07482741575159,0,0.016882029567105,0.059932996122681
1090,0.00409728614326,0.05410874306872,0.075723180966446,0,0.020240795856387,0.064030282265941
508,0.004030870668469,0.054208316934371,0.074358897239867,0.020890152555524,0,0.06806115293441
101,0.004018425726553,0.05391805836026,0.07452838341661,0,0.015610251511036,0.072079578660963
552,0.004012002496063,0.053848181328376,0.07450581239869,0,0.015519018896819,0.076091581157025
930,0.003993811053617,0.053650057375638,0.074441878517551,0,0.015264028509705,0.080085392210642
512,0.003987146806703,0.05376680335088,0.074156292697617,0.020060081232278,0,0.084072539017345
307,0.003985191535247,0.053556066098778,0.074411580714251,0,0.015144933202655,0.088057730552592
525,0.003946900715894,0.053137617045472,0.074276961131255,0,0.014628895153041,0.092004631268486
571,0.003908057711362,0.052711599728307,0.074140373874174,0,0.014126330977259,0.095912688979849
97,0.003907633929879,0.052706943217706,0.074138883633191,0,0.014120960194704,0.099820322909727
155,0.003885255734549,0.052460785212558,0.074060190269869,0,0.013840701067512,0.103705578644276
111,0.003862772848736,0.052212945820381,0.07398113222771,0,0.013565624356873,0.107568351493012
175,0.003850082903929,0.052072822381933,0.073936512902839,0,0.013413166517002,0.111418434396941
514,0.003838032525801,0.052250607543224,0.073454313858961,0.017488912973537,0,0.115256466922742
244,0.003828339352684,0.051832329131919,0.073860067969176,0,0.013156525876579,0.119084806275427
299,0.003811104884161,0.051974835216223,0.073325963772786,0.017063815336008,0,0.122895911159588
102,0.003803439309536,0.051896208535706,0.073289348429364,0.016944840983116,0,0.126699350469124
556,0.003762137784675,0.051471609963432,0.073091511754693,0.016318924574311,0,0.130461488253799
850,0.003660227149786,0.050416456948147,0.072599848766645,0.014877507716488,0,0.134121715403585
969,0.003653986057507,0.050351470240861,0.07256960005393,0.014793738085824,0,0.137775701461092
560,0.003631432913866,0.045323726750334,0.080122116477081,0.08684867748876,0,0.141407134374957
693,0.003624355974039,0.050042327873438,0.072425806873039,0.014402772063355,0,0.145031490348996
152,0.003608474552361,0.049876205724595,0.07234861794192,0.014197713642087,0,0.148639964901358
582,0.003598047961371,0.049766977290604,0.072297900279558,0.01406475860842,0,0.152238012862729
236,0.003589339692057,0.049675648603476,0.072255517400646,0.013954717329501,0,0.155827352554785
732,0.00358678175822,0.049648804407264,0.072243064078613,0.013922566244418,0,0.159414134313006
898,0.00358377779759,0.049617269102124,0.072228437043031,0.013884908192923,0,0.162997912110596
