Sample,id,FoldChange
1,SMc02575,3.79369132198578
2,SMc02576,3.09683943056297
3,SMc02582,2.27015588722058
4,SMc02615,0.378583315574862
5,SMc02854,0.405689719196073
6,SMc02857,2.45219702853715
7,SMc02866,2.03641464220379
8,SMc02868,2.75300083211718
9,SMc02882,2.03873768872994
10,SMc02890,2.59700615093064
11,SMc02911,3.20259624644293
12,SMc00320,2.31822355089987
13,SMc00321,2.69091404841024
14,SMc00324,2.33513316749879
15,SMc00332,2.15360241519903
16,SMc00335,2.87734189715722
17,SMc00362,2.22383151847735
18,SMc00365,2.35245079636758
19,SMc00371,0.359464512678448
20,SMc00397,2.05734295454525
21,SMc00399,2.25009744405084
22,SMc00404,0.447236529524166
23,SMc01160,0.228874663018806
24,SMc01159,0.189912708829119
25,SMc01142,2.33414419453329
26,SMc01106,2.89740060783084
27,SMc01104,4.41422623327655
28,SMc01095,2.32996725563194
29,SMc01092,2.2208546749515
30,SMc01721,2.0288718447063
31,SMc01720,2.44276974184973
32,SMc02178,0.379079465804686
33,SMc02172,2.2094646513852
34,SMc02171,2.25352155103278
35,SMc02156,0.213671780374291
36,SMc02136,2.00679834301159
37,SMc02229,3.21363371225084
38,SMc02243,2.11975502409034
39,SMc02254,0.089735846660631
40,SMc02255,0.115829291930852
41,SMc03004,8.31334853253889
42,SMc03006,7.51881948508406
43,SMc03007,6.26762916145556
44,SMc03008,2.95448912583326
45,SMc03009,6.67580185689264
46,SMc03010,3.89918902380164
47,SMc03011,2.31880317319442
48,SMc03012,2.51694166040577
49,SMc03014,11.4977089244307
50,SMc03017,2.15888601669481
51,SMc03019,8.04833651498448
52,SMc03020,7.15449985040489
53,SMc03021,8.91651131538235
54,SMc03022,10.4963489282037
55,SMc03023,11.2770754063946
56,SMc03024,18.6302469669555
57,SMc03025,12.5012793051914
58,SMc03026,9.80322752392102
59,SMc03027,11.7305478923198
60,SMc03028,19.8227384082727
61,SMc03029,11.1100670469042
62,SMc03030,11.6658543015406
63,SMc03031,11.6306717701026
64,SMc03032,8.03689991575018
65,SMc03033,10.4417606278407
66,SMc03034,11.5235739011988
67,SMc03035,9.5132872339437
68,SMc03037,4.65050568177534
69,SMc03038,3.67971442229985
70,SMc03039,4.68653225147645
71,SMc03040,4.99053331885456
72,SMc03041,11.1703620917291
73,SMc03042,12.7360418189831
74,SMc03043,9.21301692898555
75,SMc03044,11.0600515365089
76,SMc03045,18.4755925477169
77,SMc03046,6.43714757156101
78,SMc03047,8.31402323596287
79,SMc03048,5.97703789243547
80,SMc03049,6.02942350321992
81,SMc03050,6.54352233019297
82,SMc03051,7.60543494935011
83,SMc03052,6.64956028142506
84,SMc03054,7.73462434710736
85,SMc03071,4.70905501999574
86,SMc03072,5.09053050752142
87,SMc03057,6.15398608693945
88,SMc00765,2.84270949653744
89,SMc00801,0.228684999187984
90,SMc00815,2.7021647800878
91,SMc00821,5.67884725558832
92,SMc00830,0.475587027630133
93,SMc00913,6.44387912917821
94,SMc00912,9.59986589303522
95,SMc00908,2.18821513487708
96,SMc00888,6.91012805904031
97,SMc00992,2.16050690978965
98,SMc00991,2.02704316262055
99,SMc00986,15.7476024504623
100,SMc00980,0.454453676553651
101,SMc00978,2.3883684811885
102,SMc00977,2.59256067041674
103,SMc00975,5.14931680929544
104,SMc00084,0.301352776673185
105,SMc00092,0.270979370246832
106,SMc00097,2.25306442477204
107,SMc00040,0.387972803335834
108,SMc00105,2.5738466834917
109,SMc00045,0.424260418099134
110,SMc00062,0.409620265521591
111,SMc02376,2.07554052660163
112,SMc02382,2.22835699832995
113,SMc02601,2.22466351971299
114,SMc02545,5.70616612475441
115,SMc00565,4.97348556714013
116,SMc00566,2.08973077147324
117,SMc00567,3.20723597022529
118,SMc00568,2.1421465943847
119,SMc00591,2.40961788611336
120,SMc00620,3.03842633932275
121,SMc01756,2.44410553974078
122,SMc01766,0.401305717554653
123,SMc01774,0.269282818646507
124,SMc01804,2.24511128684863
125,SMc01907,2.2231444403034
126,SMc01333,2.78817539830459
127,SMc01321,2.76116498624868
128,SMc01320,2.3430713628708
129,SMc01319,3.27668352172893
130,SMc01318,3.80818187505397
131,SMc01314,2.46585252636724
132,SMc01313,3.70362144444813
133,SMc01312,3.30706089722771
134,SMc01310,3.52464763487525
135,SMc01309,2.8383993787812
136,SMc01308,3.07174368815594
137,SMc01307,3.61808527655961
138,SMc01306,3.04923547557316
139,SMc01305,3.44205294068651
140,SMc01304,3.29806981338811
141,SMc01303,2.48686938065447
142,SMc01302,2.66568457061249
143,SMc01301,2.90308396059183
144,SMc01300,2.85277293714193
145,SMc01299,2.24915068698247
146,SMc01298,2.38162229466332
147,SMc01297,2.34827322357212
148,SMc01296,2.71720144025333
149,SMc01295,2.71449465101412
150,SMc01294,3.01704463651531
151,SMc01293,2.86913271668735
152,SMc01292,2.17225018723934
153,SMc01291,3.0651596283501
154,SMc01290,2.19059863858561
155,SMc01283,2.11762726332935
156,SMc01268,2.44030592457202
157,SMc01267,0.463735282510448
158,SMc01266,0.346320875760057
159,SMc01265,0.436565653840653
160,SMc01016,0.325604404183423
161,SMc01022,0.35954164051952
162,SMc01053,0.351293080534278
163,SMc02111,0.490869444110223
164,SMc02101,2.44163931401091
165,SMc02100,2.91263932259974
166,SMc02061,4.74408759466539
167,SMc02054,4.82607037681523
168,SMc02050,2.02380619446941
169,SMc02049,0.472851566724255
170,SMc01242,0.07114673136681
171,SMc01175,0.458898856528617
172,SMc00943,0.272162297497997
173,SMc00506,0.466367176965911
174,SMc00494,2.13730639152712
175,SMc00467,2.05221447710136
176,SMc00168,0.196079637735611
177,SMc00147,2.66485445094542
178,SMc00137,0.186926289171379
179,SMc04236,0.063239930613261
180,SMc04173,0.438543484599266
181,SMc04183,0.428412455745045
182,SMc04276,0.430083773076927
183,SMc04283,0.409541686572254
184,SMc04291,0.329888783960176
185,SMc04292,0.497287328135794
186,SMc04300,2.71440389059684
187,SMc04316,3.19414174942255
188,SMc04317,3.34559488653083
189,SMc04346,2.36945704150318
190,SMc01488,0.414977910737608
191,SMc01449,0.443968720433255
192,SMc01465,2.24126506435094
193,SMc05008,0.439916207664144
194,SMc01469,3.35312447735709
195,SMc01882,4.11925928819295
196,SMc01875,0.339040105532282
197,SMc01869,2.4211231707579
198,SMc01848,2.06735324273388
199,SMc01542,2.30867334800018
200,SMc01547,3.0342971726361
201,SMc01591,0.321170376599376
202,SMc02689,0.381196985871231
203,SMc02692,3.36674004004182
204,SMc02726,2.39730089519457
205,SMc02735,2.3303585570158
206,SMc01815,0.446131193805971
207,SMc01959,3.71709908507693
208,SMc01982,0.389162391638002
209,SMc01983,0.255601795537804
210,SMc01984,0.387334525376248
211,SMc01985,0.304160975034787
212,SMc02349,0.420342420743452
213,SMc02350,0.230940138289959
214,SMc02443,2.23301572233567
215,SMc04458,2.06785652502883
216,SMc00651,0.410659940011183
217,SMc00638,2.14460381502209
218,SMc03968,4.97038345473584
219,SMc03969,2.56596356277766
220,SMc03970,0.46906051253858
221,SMc03981,0.496263142616977
222,SMc03999,0.443671432879804
223,SMc04040,4.30808795617896
224,SMc04049,0.497769389454771
225,SMc04051,0.433064162306664
226,SMc04059,2.3716516790992
227,SMc03938,0.455232889554142
228,SMc03939,0.332915753449904
229,SMc03950,0.49687065139314
230,SMc03157,2.38142697001467
231,SMc03167,2.78520095655818
232,SMc03168,4.35956777943916
233,SMc03173,2.42156321493262
234,SMc03203,0.446809040201235
235,SMc03211,4.38194870418305
236,SMc03143,2.13507175141367
237,SMc03137,2.69270193219899
238,SMc03136,2.03358282082898
239,SMc03104,0.386833047246525
240,SMc03103,0.460475057101776
241,SMc03090,2.03981124099404
242,SMc04444,0.332200224872427
243,SMc02503,3.23496308646722
244,SMc02501,2.01294845911657
245,SMc02471,2.04492303314021
246,SMc02470,2.16011555324903
247,SMc02467,0.415561547813927
248,SMc03242,2.36920944393251
249,SMc03251,0.435506245361205
250,SMc03252,0.453506022565074
251,SMc03253,0.327956685441244
252,SMc03773,2.56104384491813
253,SMc03788,0.30310214122516
254,SMc03789,0.299825097017422
255,SMc03790,0.404848105355327
256,SMc03829,2.01505276524958
257,SMc03857,2.64149331358625
258,SMc03858,2.62367295329842
259,SMc03859,3.54108156245225
260,SMc03881,3.8993043340062
261,SMc02796,2.42423604304729
262,SM_b20013,0.47771214917251
263,SM_b20019,0.271812376254549
264,SM_b20079,0.326692359425175
265,SM_b20080,0.433625432627536
266,SM_b20096,0.376849711677007
267,SM_b20097,0.379605742484299
268,SM_b20098,0.409282416646939
269,SM_b20099,0.249723046620036
270,SM_b20100,0.248767042479704
271,SM_b20170,0.447007778048943
272,SM_b20194,0.23761583510588
273,SM_b20195,0.238815251046078
274,SM_b20196,0.240103714014043
275,SM_b20197,0.203271988187871
276,SM_b20198,0.126476262195736
277,SM_b20199,0.149969396255506
278,SM_b20200,0.145935983177745
279,SM_b20201,0.2809478246852
280,SM_b20202,0.228880694577953
281,SM_b20347,2.63853732650578
282,SM_b20359,0.394527710311069
283,SM_b20360,0.445192188507455
284,SM_b20495,0.242152499896361
285,SM_b20551,2.12846289179735
286,SM_b21096,2.26849936366587
287,SM_b21132,0.346200377992972
288,SM_b21133,0.32508694796234
289,SM_b21221,2.38560010792204
290,SM_b21257,2.61649510150397
291,SM_b21277,2.51958595447239
292,SM_b21284,2.90422684786157
293,SM_b21287,0.353716423044375
294,SM_b21294,4.04890645021144
295,SM_b21295,2.47233891432768
296,SM_b21174,3.35070968555053
297,SM_b21175,3.15846684704481
298,SM_b21176,2.16921544257209
299,SM_b21177,2.61076374640921
300,SM_b21188,0.366869857274797
301,SM_b21189,0.372835478895629
302,SM_b21190,0.317382046063827
303,SM_b21191,0.25711565708044
304,SM_b21207,3.93448920219543
305,SM_b21208,2.92504226525904
306,SM_b21346,2.51281648196335
307,SM_b21377,2.31717478000624
308,SM_b21556,0.394344782801953
309,SM_b21558,0.377846339910731
310,SM_b21566,5.64752960730339
311,SM_b22023,6.95197228663712
312,SM_b20943,0.434743304859102
313,SM_b20944,0.45489421633807
314,SM_b20946,0.410335398209055
315,SM_b20948,0.472925411922823
316,SM_b20954,0.298471922609033
317,SM_b20955,0.30670995509113
318,SM_b20956,0.287848405547548
319,SM_b20957,0.26595396135235
320,SM_b20958,0.195469849169218
321,SM_b20959,0.143265408860893
322,SM_b20960,0.131910943272652
323,SM_b20961,0.246775137850292
324,SM_b20991,0.269435460867301
325,SM_b20992,0.35672019437638
326,SM_b20846,0.444737820564284
327,SM_b20909,0.337771366845738
328,SM_b20910,0.31133459526281
329,SM_b21438,2.08729555442462
330,SM_b21440,0.226703760119608
331,SM_b21487,0.451270849913396
332,SM_b21488,0.373054947832988
333,SM_b21489,0.379996394214066
334,SM_b22024,0.367734509096078
335,SM_b21490,0.321944286944124
336,SM_b21494,2.90078540008802
337,SM_b21505,2.36304434295588
338,SM_b20647,2.9925304476169
339,SM_b20661,0.453866994030968
340,SM_b20705,2.78441692022296
341,SM_b20724,0.198562280055454
342,SM_b20725,0.199212063761215
343,SM_b20726,0.229634280486789
344,SM_b20748,0.428056316814206
345,SM_b20573,0.238029797639801
346,SM_b20600,0.4629532093902
347,SM_b20604,0.318501173911891
348,SM_b20605,0.287794834871233
349,SM_b20611,0.283721311955805
350,SMa0007,0.392787151664836
351,SMa0142,0.377149069334617
352,SMa0175,2.0365237836083
353,SMa0312,0.172888734192981
354,SMa0314,0.175935899368635
355,SMa0316,0.482451609622929
356,SMa0329,0.483369556332042
357,SMa0592,2.04471985284907
358,SMa0604,0.352113181939422
359,SMa0621,0.442002554305777
360,SMa0630,0.313597732923517
361,SMa0631,0.319381616676402
362,SMa0633,0.283022466157073
363,SMa0636,0.185255760149897
364,SMa0661,0.145585282483182
365,SMa0667,0.135495303380747
366,SMa0669,0.198135272346808
367,SMa0670,0.251205400460093
368,SMa0675,0.41444621316478
369,SMa0677,0.249961736525375
370,SMa0678,0.121748412839564
371,SMa0680,0.106332885034468
372,SMa0682,0.141392757734325
373,SMa0684,0.17512654238317
374,SMa0687,0.269931194111227
375,SMa0689,0.156524644101285
376,SMa0690,0.190217393033153
377,SMa0693,0.111963972880318
378,SMa0695,0.10568657200296
379,SMa0697,0.091931277817323
380,SMa0699,0.168213078845997
381,SMa0744,3.66805234478984
382,SMa0745,8.04671174289906
383,SMa0760,0.194839755635132
384,SMa0762,0.147673630210511
385,SMa0763,0.109795320667781
386,SMa0765,0.087730656883202
387,SMa0766,0.100132271809284
388,SMa0769,0.090755724468062
389,SMa0771,0.084660912103705
390,SMa0772,0.146524378793993
391,SMa0773,0.297578245296376
392,SMa0814,0.113827877863719
393,SMa0815,0.191177975696193
394,SMa0849,3.1047406907931
395,SMa0855,2.82801238048929
396,SMa0892,0.466966801872602
397,SMa1073,0.454045511121478
398,SMa1076,0.464977047229831
399,SMa1077,0.499362849875383
400,SMa1078,0.388431190234934
401,SMa1082,0.180049397630682
402,SMa1084,0.225902766531283
403,SMa1086,0.269085199745909
404,SMa1087,0.199615659204648
405,SMa1089,0.259430703845883
406,SMa1091,0.172050124600172
407,SMa1093,0.20501752210043
408,SMa1095,0.184606209106992
409,SMa1096,0.252008719859816
410,SMa1100,0.154586087609572
411,SMa1101,0.240534355695756
412,SMa1118,0.180789368596187
413,SMa1120,0.195313908803071
414,SMa1122,0.226330363121742
415,SMa1124,0.283035442138539
416,SMa1126,0.204813209418308
417,SMa1128,0.238468045751481
418,SMa1131,0.22810942561532
419,SMa1132,0.229321021071593
420,SMa1134,0.245178920272073
421,SMa1136,0.254971040530794
422,SMa1146,0.15921647629458
423,SMa1147,0.168983447185622
424,SMa1149,0.188471743143292
425,SMa1151,0.24004045171631
426,SMa1153,0.173661840007408
427,SMa1154,0.202854517874784
428,SMa1155,0.202663045453076
429,SMa1156,0.194944845456191
430,SMa1158,0.176778707165392
431,SMa1163,0.211465809419522
432,SMa1166,0.223584172239865
433,SMa1168,0.231989555058869
434,SMa1169,0.19386950896657
435,SMa1170,0.182509082993282
436,SMa1176,0.144331219979852
437,SMa1178,0.246422065341694
438,SMa1179,0.190618018359108
439,SMa1182,0.219824747542409
440,SMa1183,0.244626265783086
441,SMa1184,0.293801749939412
442,SMa1185,0.307798705437863
443,SMa1186,0.435303787221426
444,SMa1194,0.17984762050917
445,SMa1195,0.170476118902337
446,SMa1198,0.248601162534714
447,SMa1200,0.278101982240736
448,SMa1201,0.267239473359354
449,SMa1207,0.245654915245272
450,SMa1209,0.187757564334996
451,SMa1210,0.198477775348252
452,SMa1211,0.211327823843132
453,SMa1213,0.340769241956005
454,SMa1216,0.362367213930212
455,SMa1220,0.371288334239128
456,SMa1223,0.255986048121451
457,SMa1225,0.357877361455779
458,SMa1226,0.245173094624035
459,SMa1231,0.197520990589709
460,SMa1232,0.326918668312032
461,SMa1233,0.274487932394933
462,SMa1236,0.204890064898464
463,SMa1239,0.229813734126134
464,SMa1240,0.306836382558195
465,SMa1241,0.359118865789365
466,SMa1243,0.216366562349716
467,SMa1247,0.2484183030546
468,SMa1250,0.181654111282764
469,SMa1252,0.177462251795147
470,SMa1253,0.298686701348406
471,SMa1255,0.165236930310797
472,SMa1256,0.174639881423833
473,SMa1259,0.163541620157618
474,SMa1261,0.135452838165996
475,SMa1266,0.151685039125581
476,SMa1269,0.369815764924294
477,SMa1272,0.305091333699096
478,SMa1273,0.329433187419764
479,SMa1276,0.327281485335821
480,SMa1279,0.194649057200922
481,SMa1283,0.229977977401431
482,SMa1285,0.254618953558161
483,SMa1288,0.224740779152354
484,SMa1289,0.180890306826241
485,SMa1291,0.222701389396801
486,SMa1292,0.258288426480161
487,SMa1294,0.218817960197181
488,SMa1296,0.125064656156233
489,SMa1377,2.34518805397422
490,SMa1379,2.5627235012636
491,SMa5031,3.94620587513289
492,SMa1386,4.3834962081694
493,SMa1495,0.227792291637616
494,SMa1587,0.407846610101916
495,SMa1747,2.23717372116548
496,SMa1750,0.251448778473363
497,SMa1809,0.458348286752504
498,SMa1811,0.352222801101954
499,SMa1819,0.392759856439693
500,SMa1820,0.390944633163593
