sample,average,sd,ratio,ava,avb,cumsum
574,0.005628722322087,0.070358775225101,0.080000288579205,0,0.124324682103558,0.005628722322087
581,0.005564497482261,0.069682604680634,0.079854900771348,0,0.112837840133365,0.011193219804349
579,0.005227911323054,0.06638909621808,0.078746535513617,0.069530064269937,0,0.016421131127403
576,0.005201815239909,0.066121657130872,0.078670370127199,0.06729326598695,0,0.021622946367312
577,0.004874599949917,0.062628966530721,0.077832993580142,0,0.048083438487401,0.026497546317228
781,0.004576286126014,0.059749945136104,0.076590633105857,0.033538184976727,0,0.031073832443243
564,0.00436188863989,0.057560046869008,0.075779796528254,0.027113195877859,0,0.035435721083133
562,0.00435743999101,0.057476500353513,0.075812548854045,0,0.028453334864594,0.039793161074143
563,0.00411688884019,0.055073574448688,0.074752526622838,0,0.022636040928375,0.043910049914334
37,0.004093020095713,0.054785686545151,0.074709661479543,0.021004141910136,0,0.048003070010046
507,0.004032009895424,0.054219804303779,0.074364154338024,0,0.020912278885089,0.05203507990547
509,0.004029750230676,0.054126280156856,0.074450899248904,0.019808456803417,0,0.056064830136146
511,0.004015841351594,0.054056693365124,0.07428943765519,0,0.020600649249779,0.06008067148774
44,0.003945918420646,0.053349301713566,0.07396382509056,0,0.019310386443355,0.064026589908386
671,0.0039068444297,0.052952461872722,0.073780222704099,0,0.01862798207579,0.067933434338085
583,0.003903559579203,0.052801757623159,0.073928591677997,0.017647381784843,0,0.071836993917289
1080,0.003885231405582,0.052608252529252,0.073852128112829,0.01735617775784,0,0.075722225322871
1090,0.003871625358128,0.0517463002011,0.074819365695357,0.020240795856387,0,0.079593850680999
554,0.003859722214109,0.052338423497903,0.07374548097085,0.016959788940235,0,0.083453572895108
526,0.003854639966786,0.052284593014807,0.073724203336427,0.016882029567105,0,0.087308212861894
536,0.003773365974107,0.051587204812346,0.073145385330202,0,0.016486599232888,0.091081578836001
101,0.003767618334916,0.051359012623476,0.073358465096227,0.015610251511036,0,0.094849197170917
552,0.003761076091939,0.051289123640817,0.073330870659404,0.015519018896819,0,0.098610273262856
930,0.003742563435843,0.051091119293767,0.073252719603261,0.015264028509705,0,0.102352836698699
307,0.003733799870286,0.050997263244034,0.07321569105422,0.015144933202655,0,0.106086636568984
1073,0.003719310679106,0.051029533643106,0.072885453061718,0,0.015695882472195,0.10980594724809
337,0.003701532984857,0.050845464350057,0.072799669197107,0,0.015444734267686,0.113507480232948
741,0.003701050328586,0.050840462234897,0.072797338298896,0,0.015437975497063,0.117208530561534
525,0.003694932082344,0.050580015755951,0.073051224423744,0.014628895153041,0,0.120903462643878
3,0.003657260049962,0.050385566916638,0.072585469882927,0,0.014837620177912,0.12456072269384
571,0.003655607818498,0.050156198231202,0.072884467870694,0.014126330977259,0,0.128216330512338
97,0.003655179359308,0.050151571062064,0.072882649175329,0.014120960194704,0,0.131871509871646
155,0.003632571597364,0.049907123674891,0.072786635050891,0.013840701067512,0,0.13550408146901
922,0.003628241643416,0.050082926981489,0.072444680494745,0,0.014453416426363,0.139132323112426
33,0.003627286143838,0.050072945170588,0.072440039855457,0,0.01444094543389,0.142759609256263
111,0.003609892369547,0.049661317841358,0.072690225037494,0.013565624356873,0,0.14636950162581
298,0.003606925588113,0.049859987161634,0.072341085376143,0,0.014177878709622,0.149976427213923
649,0.003606186416969,0.044637870564958,0.080787599662066,0,0.176430676136537,0.153582613630892
530,0.003604584797809,0.049835472228508,0.072329700846036,0,0.014147959478315,0.157187198428701
175,0.003597106678423,0.04952247948615,0.072635835599247,0.013413166517002,0,0.160784305107124
738,0.00358789717827,0.04966051115466,0.072248494726451,0,0.013936576570703,0.164372202285395
38,0.003581354557202,0.04959182202452,0.072216635949198,0,0.013854608000591,0.167953556842597
862,0.003581087622849,0.049589018433154,0.072215335894907,0,0.013851274497332,0.171534644465446
244,0.003575224181808,0.049284415020018,0.072542692864593,0.013156525876579,0,0.175109868647254
198,0.00355357099426,0.049299535388686,0.072081226856252,0,0.013512112697607,0.178663439641514
783,0.003548425200198,0.049245293854339,0.07205612805752,0,0.013449657999144,0.182211864841712
241,0.003538671161024,0.049142383862376,0.072008536886075,0,0.01333209961434,0.185750536002736
801,0.003530642290787,0.049057583016582,0.071969348542776,0,0.013236139015621,0.189281178293522
786,0.003522225985454,0.048968599896968,0.071928255920418,0,0.013136321451924,0.192803404278976
629,0.003378060950737,0.041834211094464,0.080748766675896,0,0.154221785416959,0.196181465229713
664,0.003368663468471,0.042418713550801,0.079414559907318,0.059438834617787,0,0.199550128698184
672,0.003362554301929,0.041692731938692,0.080650850773538,0,0.132367517009429,0.202912683000113
633,0.003323946172831,0.041153414338181,0.080769633000949,0,0.157357781290438,0.206236629172944
627,0.00331975278636,0.041419574693794,0.080149369251175,0.092300549261842,0,0.209556381959303
616,0.003281357287331,0.041146113267572,0.079748900363752,0.069314203355299,0,0.212837739246635
635,0.003154399925579,0.039336483904297,0.080190185102804,0.090676420376467,0,0.215992139172214
882,0.003128889099675,0.039330322081244,0.079554118402901,0.05927137257596,0,0.219121028271889
639,0.003054455747963,0.038113819982987,0.080140372949393,0.08431653743399,0,0.222175484019852
655,0.003009688830949,0.037803800155113,0.079613393854583,0.058857952588501,0,0.225185172850801
637,0.003006746338008,0.037644422203246,0.079872293477476,0,0.061569040990888,0.228191919188808
657,0.002989468064002,0.037457479357793,0.079809643234307,0,0.059133405401812,0.23118138725281
631,0.00296151261467,0.037055155571106,0.079921742845932,0.069736051643768,0,0.23414289986748
506,0.002958877373861,0.038365053907703,0.07712428557978,0,0.02481118641118,0.237101777241342
674,0.002922438890012,0.036952871532361,0.079085569505817,0,0.041942325585367,0.240024216131354
645,0.002921686545497,0.036415117463075,0.080232792011717,0,0.075701953732655,0.242945902676851
653,0.002915153801754,0.036728783047224,0.079369735664977,0,0.046791067535644,0.245861056478605
647,0.002900166971871,0.03633548474719,0.079816383132062,0.063820062571221,0,0.248761223450476
733,0.002885500023145,0.036575773152518,0.078891019230483,0,0.038645831275602,0.251646723473621
868,0.002867882056838,0.036579825071583,0.078400649845267,0.033822507318415,0,0.254514605530459
