Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0009055~electron carrier activity	3	5	0.014859316881376	SINMEB_5731, SINMEB_6168, SINMEB_6182	17	41	3453	14.8622668579627	0.291304212859256	0.341764288271652	0.341764288271652
GOTERM_MF_DIRECT	GO:0005507~copper ion binding	2	3.33333333333333	0.0803908540568	SINMEB_6148, SINMEB_6182	17	18	3453	22.5686274509804	0.854495815486821	0.540142742331532	0.540142742331532
GOTERM_MF_DIRECT	GO:0004129~cytochrome-c oxidase activity	2	3.33333333333333	0.0803908540568	SINMEB_6148, SINMEB_6201	17	18	3453	22.5686274509804	0.854495815486821	0.540142742331532	0.540142742331532
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	4	6.66666666666667	0.093937868231571	SINMEB_6269, SINMEB_5501, SINMEB_6211, SINMEB_6271	17	239	3453	3.39945852818115	0.896573093704335	0.540142742331532	0.540142742331532
