Gene Group 1	Enrichment Score: 0.15745182426818422
ENSEMBL_GENE_ID	Gene Name
SinmeB_6218	virB8 family protein(SM2011_RS03570)
SinmeB_6168	cytochrome-c oxidase, cbb3-type subunit II(ccoO)
SinmeB_6201	cytochrome c oxidase subunit 3(SM2011_RS03480)
SinmeB_5733	DUF2189 domain-containing protein(SM2011_RS01685)
SinmeB_6164	FixH family protein(SM2011_RS03300)
SinmeB_6186	NnrS family protein(SM2011_RS03410)
